qty,entry_price,exit_price,buy_value,sell_value,gross_pnl,net_pnl,fees,return_pct,exit_reason,score,expected_net,symbol,surge_probability,predicted_mfe,p_hit_2_5,p_hit_3,p_hit_4,p_hit_5,regime,regime_score,validation_precision,mfe_validation_mae,mfe_validation_rank_ic,signal_date,entry_date,portfolio_size,configured_portfolio_size,stop_loss_pct,target_pct
74,409.0044,419.019895245,30266.325599999996,31007.472248129998,741.1466481300013,682.7310601917233,58.415587938278,0.02253824715234886,take_profit,0.07677852298968751,0.0035687832832336447,E2E,0.7932965159416199,0.04061359539628029,0.5767195820808411,0.5149626135826111,0.3967828154563904,0.2853773534297943,risk_off,0.22952843917483462,0.8764044943820225,0.017338733069994047,0.1919822757419239,2026-06-08,2026-06-09,3,5,0.015,0.025
55,544.2719999999999,535.83986604,29934.959999999995,29471.192632199996,-463.7673677999992,-521.7110453843383,57.943677584339056,-0.017222671075899962,stop_loss,0.0762680492913099,0.003777909755706789,TEJASNET,0.8060134649276733,0.028189431875944138,0.5819477438926697,0.5149626135826111,0.39678284525871277,0.3454545736312866,risk_off,0.22952843917483462,0.8764044943820225,0.017338733069994047,0.1919822757419239,2026-06-08,2026-06-09,3,5,0.015,0.025
6,4342.17,4274.898931275,26053.02,25649.39358765,-403.62641235000046,-460.17685901765384,56.550446667653375,-0.015191310879307222,stop_and_target_same_bar_conservative_stop,0.07610794152968844,0.003777909755706789,NETWEB,0.7967081665992737,0.026588354259729385,0.5819477438926697,0.48520711064338684,0.39678284525871277,0.2853773534297943,risk_off,0.22952843917483462,0.8764044943820225,0.017338733069994047,0.1919822757419239,2026-06-08,2026-06-09,3,5,0.015,0.025
398,113.55675,116.33747091562499,45195.5865,46302.313424418746,1106.7269244187482,1042.7791010617962,63.94782335695219,0.023025207509108993,take_profit,0.07305266694024434,0.003777909755706789,MARSONS,0.8334611654281616,0.03358295187354088,0.5819477438926697,0.557692289352417,0.47454842925071716,0.37569060921669006,risk_off,0.15443375215832988,0.8764044943820225,0.017338733069994047,0.1919822757419239,2026-06-11,2026-06-12,2,5,0.015,0.025
144,313.006425,320.67116983218745,45072.9252,46176.64845583499,1103.7232558349933,1039.8208862478498,63.902369587143625,0.02295988829636463,take_profit,0.07237220526531568,0.0037779073715209976,JAINREC,0.8127885460853577,0.026778418570756912,0.5819476842880249,0.5149626731872559,0.47454845905303955,0.37569060921669006,risk_off,0.15443375215832988,0.8764044943820225,0.017338733069994047,0.1919822757419239,2026-06-11,2026-06-12,2,5,0.015,0.025
72,1280.6399999999999,1311.9996719999997,92206.07999999999,94463.97638399998,2257.8963839999924,2176.5281994522156,81.36818454777664,0.023489461835572018,take_profit,0.0933173954571554,0.0016452507972717304,CLEANMAX,0.7529324293136597,0.033936697989702225,0.5286312699317932,0.48520714044570923,0.39678284525871277,0.2853773534297943,risk_on,0.7083069573546822,0.8764044943820225,0.017338733069994047,0.1919822757419239,2026-06-12,2026-06-15,1,5,0.015,0.025
92,1029.3644249999998,1013.4169966456873,94701.52709999998,93234.36369140322,-1467.1634085967526,-1548.3518513375127,81.18844274076024,-0.01632657361401604,stop_and_target_same_bar_conservative_stop,0.09050468055543154,0.001116741180419923,ORCHPHARMA,0.7940515279769897,0.02556530013680458,0.515418529510498,0.48520711064338684,0.38620689511299133,0.3333333134651184,risk_on,0.7057911282056268,0.8764044943820225,0.017338733069994047,0.1919822757419239,2026-06-16,2026-06-17,1,5,0.015,0.025
85,217.9089,214.53294636675,18522.2565,18235.30044117375,-286.9560588262502,-340.80370933156,53.847650505309794,-0.018266223667869414,stop_loss,0.09200422140867223,0.0035687832832336447,DECNGOLD,0.7944114208221436,0.030107956379652023,0.5767195820808411,0.557692289352417,0.45348837971687317,0.34545454382896423,neutral,0.5550536855877853,0.8764044943820225,0.017338733069994047,0.1919822757419239,2026-06-24,2026-06-25,5,5,0.015,0.025
9,1918.9589999999998,1889.2295276925,17270.630999999998,17003.0657492325,-267.56525076749676,-320.96369202621537,53.39844125871861,-0.017202848523318826,stop_loss,0.08604840862662305,0.0016452507972717304,KIRLPNU,0.770101010799408,0.037873465567827225,0.5286312699317932,0.4584631621837616,0.38268792629241943,0.2853773832321167,neutral,0.5550536855877853,0.8764044943820225,0.017338733069994047,0.1919822757419239,2026-06-24,2026-06-25,5,5,0.015,0.025
93,200.1,196.99995075,18609.3,18320.99541975,-288.30458024999825,-342.1834707268935,53.87889047689527,-0.018340175416531088,stop_and_target_same_bar_conservative_stop,0.0858284481158923,0.0016452507972717304,NACLIND,0.7949800491333008,0.03567386046051979,0.5286312699317932,0.5149625539779663,0.3967828154563904,0.2853773534297943,neutral,0.5550536855877853,0.8764044943820225,0.017338733069994047,0.1919822757419239,2026-06-24,2026-06-25,5,5,0.015,0.025
97,190.385145,187.43560314108748,18467.359065,18181.253504685486,-286.10556031451415,-339.9335080929171,53.82794777840296,-0.0182195830650066,stop_loss,0.08401207584053982,0.0009689097404479994,NIACL,0.7651150226593018,0.04118207469582558,0.5117227435112,0.4509090781211853,0.3269621729850769,0.26093295216560364,neutral,0.5550536855877853,0.8764044943820225,0.017338733069994047,0.1919822757419239,2026-06-24,2026-06-25,5,5,0.015,0.025
215,86.29312499999999,84.95622876093749,18553.021875,18265.58918360156,-287.4326913984369,-341.2913836178415,53.85869221940466,-0.01829236178593086,stop_loss,0.08397602434367646,0.0009689097404479994,LLOYDSENGG,0.7456291913986206,0.040821559727191925,0.5117227435112,0.4509090781211853,0.3269621729850769,0.2521008551120758,neutral,0.5550536855877853,0.8764044943820225,0.017338733069994047,0.1919822757419239,2026-06-24,2026-06-25,5,5,0.015,0.025
