signal_date,executed,starting_equity,ending_equity,daily_pnl,daily_return_pct,portfolio_size,stop_loss_pct,regime,entry_date,peak_equity,drawdown_pct
2026-05-20,0,104299.94909458318,104299.94909458318,0.0,0.0,3,0.025,neutral,,105406.79961573877,-0.010500750664953484
2026-05-21,0,104299.94909458318,104299.94909458318,0.0,0.0,3,0.025,neutral,,105406.79961573877,-0.010500750664953484
2026-05-22,0,104299.94909458318,104299.94909458318,0.0,0.0,3,0.025,neutral,,105406.79961573877,-0.010500750664953484
2026-05-25,0,104299.94909458318,104299.94909458318,0.0,0.0,3,0.025,risk_on,,105406.79961573877,-0.010500750664953484
2026-05-26,0,104299.94909458318,104299.94909458318,0.0,0.0,3,0.025,neutral,,105406.79961573877,-0.010500750664953484
2026-05-27,0,104299.94909458318,104299.94909458318,0.0,0.0,3,0.025,risk_on,,105406.79961573877,-0.010500750664953484
2026-05-29,1,104299.94909458318,101558.69560531755,-2741.2534892656217,-0.026282404862726715,1,0.025,risk_off,2026-06-01,105406.79961573877,-0.03650717054734143
2026-06-01,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,risk_off,,105406.79961573877,-0.03650717054734143
2026-06-02,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,neutral,,105406.79961573877,-0.03650717054734143
2026-06-03,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,risk_off,,105406.79961573877,-0.03650717054734143
2026-06-04,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,neutral,,105406.79961573877,-0.03650717054734143
2026-06-05,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,neutral,,105406.79961573877,-0.03650717054734143
2026-06-08,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,risk_off,,105406.79961573877,-0.03650717054734143
2026-06-09,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,risk_on,,105406.79961573877,-0.03650717054734143
2026-06-10,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,risk_off,,105406.79961573877,-0.03650717054734143
2026-06-11,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,risk_off,,105406.79961573877,-0.03650717054734143
2026-06-12,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,risk_on,,105406.79961573877,-0.03650717054734143
2026-06-15,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,risk_on,,105406.79961573877,-0.03650717054734143
2026-06-16,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,risk_on,,105406.79961573877,-0.03650717054734143
2026-06-17,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,risk_on,,105406.79961573877,-0.03650717054734143
2026-06-18,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,risk_on,,105406.79961573877,-0.03650717054734143
2026-06-19,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,neutral,,105406.79961573877,-0.03650717054734143
2026-06-22,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,risk_on,,105406.79961573877,-0.03650717054734143
2026-06-23,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,risk_off,,105406.79961573877,-0.03650717054734143
2026-06-24,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,neutral,,105406.79961573877,-0.03650717054734143
2026-06-25,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,risk_off,,105406.79961573877,-0.03650717054734143
2026-06-29,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,risk_off,,105406.79961573877,-0.03650717054734143
2026-06-30,0,101558.69560531755,101558.69560531755,0.0,0.0,3,0.025,neutral,,105406.79961573877,-0.03650717054734143
2026-07-01,1,101558.69560531755,101309.10071676593,-249.59488855163136,-0.0024576417318475556,3,0.025,neutral,2026-07-02,105406.79961573877,-0.038875090733340056
2026-07-02,1,101309.10071676593,98644.63765287965,-2664.46306388627,-0.02630033279374792,1,0.025,risk_on,2026-07-03,105406.79961573877,-0.06415299570341404
2026-07-03,1,98644.63765287965,99663.46677523268,1018.8291223530321,0.010328276798361681,1,0.025,neutral,2026-07-06,105406.79961573877,-0.05448730880212138
2026-07-06,1,99663.46677523268,96998.78480247274,-2664.6819727599345,-0.026736797935892526,2,0.025,neutral,2026-07-07,105406.79961573877,-0.07976729057250109
2026-07-07,1,96998.78480247274,99289.1053433813,2290.320540908571,0.02361184777286184,1,0.025,risk_off,2026-07-08,105406.79961573877,-0.05803889592189082
2026-07-08,1,99289.1053433813,99902.90938549844,613.8040421171288,0.006181987842415839,3,0.025,risk_off,2026-07-09,105406.79961573877,-0.05221570382845131
