distance,width,take_profit,stop_loss,minimum_credit,score,train_trades,train_win_rate,train_net_pnl,train_return_on_capital,train_median_trade,train_worst_trade,train_best_trade,train_profit_factor,train_max_drawdown,train_take_profit_eod_marks,train_stop_loss_eod_marks,train_forced_expiry_or_max_hold,train_negative_conservative_bound_trades,train_deep_conservative_bound_trades,window
0.015,150,0.6,1.0,10.0,-0.12433940882555303,237,0.6371308016877637,-11391.460442124993,-0.11391460442124993,792.1253232249999,-8717.856919025,6326.244887199999,0.9617364220200794,-0.31965011704874846,141,63,33,235,130,2023
0.0125,150,0.7,1.25,10.0,-0.1255948218884903,248,0.6411290322580645,2806.6971646750226,0.028066971646750226,847.0629055875003,-9419.55777725,10261.129225749999,1.0084216088101308,-0.31932873522513183,133,53,62,246,157,2023
0.0175,250,0.7,1.25,10.0,-0.12731887892175844,225,0.6666666666666666,2567.130669550006,0.02567130669550006,899.3695742500003,-13284.372439325,13679.572329850002,1.0068574764075717,-0.2913303391464491,141,54,30,222,66,2023
0.015,200,0.7,1.5,10.0,-0.12773736858776194,236,0.7161016949152542,43377.307190349995,0.43377307190349995,1004.0120198500001,-10909.335670625002,10967.083202575004,1.1279752183726135,-0.33343824322855775,149,44,43,233,97,2023
0.015,200,0.5,1.25,10.0,-0.13422891703307283,244,0.6967213114754098,-12046.920344199983,-0.12046920344199984,859.8202855374999,-10909.335670625002,7467.101500900003,0.9667935132684459,-0.3321140985892481,162,57,25,241,102,2023
0.015,200,0.5,1.5,10.0,-0.13649807932678762,241,0.7136929460580913,-4866.96495965,-0.048669649596500004,934.061422375,-10909.335670625002,7467.101500900003,0.986333002465212,-0.3435999505469186,165,47,29,238,103,2023
0.0125,200,0.6,1.25,10.0,-0.13684294003652567,251,0.6573705179282868,16795.99497072502,0.1679599497072502,1027.9645658499999,-9933.289032049996,12414.696824799992,1.0427701650748955,-0.3482840022646968,149,56,46,249,121,2023
0.0175,200,0.7,1.5,10.0,-0.14048456910446072,222,0.6891891891891891,718.8854654249878,0.007188854654249879,929.5048545250002,-11564.063142650002,10967.083202575004,1.0021917869185601,-0.3404113032576038,145,44,33,220,82,2023
0.0125,250,0.6,1.25,10.0,-0.14071349724918392,253,0.6679841897233202,54007.33572250001,0.540073357225,1163.5601429500002,-12991.326505774996,17055.535140175,1.1262739739782137,-0.33592232770585106,156,52,45,250,99,2023
0.015,200,0.6,1.25,10.0,-0.14147540915840476,242,0.6942148760330579,14532.986794000019,0.1453298679400002,965.4948895125,-10909.335670625002,10967.083202575004,1.0407820226247706,-0.35252130568643136,154,55,33,239,102,2023
0.015,150,0.4,1.5,10.0,-0.1421029226979591,236,0.6949152542372882,-21009.440703374992,-0.21009440703374993,787.0913891499997,-8717.856919025,5934.8372479,0.9266333796537194,-0.36571352154256864,161,45,30,234,132,2023
0.0175,250,0.7,1.5,10.0,-0.14216463238434324,225,0.7066666666666667,36206.78271417499,0.3620678271417499,1080.2227870499999,-13284.372439325,13679.572329850002,1.101997306664123,-0.33924616587647427,151,42,32,222,63,2023
0.0125,200,0.6,1.5,10.0,-0.1425907514563457,250,0.68,28839.06234265001,0.28839062342650007,1179.9111772624997,-9933.289032049996,12414.696824799992,1.0745196143450235,-0.37135218467010345,153,44,53,248,119,2023
0.0125,200,0.7,1.25,10.0,-0.14360173766224882,251,0.6414342629482072,4636.483323175027,0.04636483323175027,933.7408552750003,-9933.289032049996,12414.696824799992,1.01140759071294,-0.35387651270688414,138,59,54,249,116,2023
0.0125,250,0.6,1.5,10.0,-0.14442345700098125,252,0.6825396825396826,58158.11099270002,0.5815811099270002,1240.6734458000003,-12991.326505774996,17055.535140175,1.137621797943823,-0.3496842463788078,159,47,46,249,97,2023
0.015,300,0.7,1.25,10.0,-0.1445610800781208,241,0.7053941908713693,66901.2881948,0.669012881948,1058.1172682500003,-15869.162523724997,16193.19530095,1.159965379505761,-0.31938603794731535,152,51,38,236,61,2023
0.015,150,0.7,1.25,10.0,-0.10253361655564375,272,0.6801470588235294,4058.5786194499997,0.0405857861945,771.8382118,-8717.856919025,7427.052727225001,1.0124588570681243,-0.2850900290562324,169,62,41,270,139,2024
0.015,150,0.7,1.5,10.0,-0.10792522256670746,270,0.6851851851851852,7216.040778774994,0.07216040778774993,786.5535755125,-8717.856919025,7427.052727225001,1.0224847829169352,-0.2977055775398705,168,56,46,268,139,2024
0.015,150,0.7,1.0,10.0,-0.10885208578321076,273,0.6556776556776557,6170.3965619499995,0.06170396561949999,716.973539275,-8717.856919025,7427.052727225001,1.0196370449877907,-0.29079211878687483,164,69,40,271,136,2024
0.015,150,0.5,1.25,10.0,-0.11277367055621901,279,0.6953405017921147,-20784.7561134,-0.207847561134,716.973539275,-8717.856919025,6326.244887199999,0.9369210627389729,-0.3046258671768153,188,63,28,277,143,2024
0.015,150,0.5,1.0,10.0,-0.11677004739528327,281,0.6654804270462633,-22058.967022999997,-0.22058967022999998,640.8321786249999,-8717.856919025,6326.244887199999,0.9312348899107895,-0.30352086491449803,182,72,27,279,140,2024
0.015,150,0.6,1.25,10.0,-0.11692163497976057,275,0.6836363636363636,-13930.69129817501,-0.1393069129817501,759.8669380499999,-8717.856919025,6326.244887199999,0.9581825252840779,-0.31277350983322205,178,64,33,273,143,2024
0.015,150,0.5,1.5,10.0,-0.11699771995059043,276,0.7028985507246377,-15359.058977324992,-0.1535905897732499,738.9057859250001,-8717.856919025,6326.244887199999,0.9522750711886043,-0.31583983700464646,187,54,35,274,143,2024
0.015,200,0.7,1.25,10.0,-0.12230140895065222,278,0.7086330935251799,26093.01552530002,0.2609301552530002,831.6392733625,-10909.335670625002,10967.083202575004,1.0677444794975062,-0.3123788461961228,178,61,39,275,106,2024
0.015,150,0.6,1.5,10.0,-0.12356145660816634,272,0.6875,-9720.30386875,-0.09720303868749999,771.8382118,-8717.856919025,6326.244887199999,0.9702039456870301,-0.3276031442724393,176,56,40,270,143,2024
0.015,150,0.6,1.0,10.0,-0.12522728538644598,277,0.6534296028880866,-19899.607917825,-0.19899607917825,678.1247421,-8717.856919025,6326.244887199999,0.9391350595635334,-0.31965011704874846,171,73,33,275,140,2024
0.0125,150,0.7,1.25,10.0,-0.12670368253327052,292,0.6472602739726028,-9034.793395274985,-0.09034793395274984,782.09286505,-9419.55777725,10261.129225749999,0.9757851653914617,-0.31932873522513183,163,62,67,290,170,2024
0.015,200,0.7,1.5,10.0,-0.1304410016624839,275,0.72,31138.13576280002,0.3113813576280002,884.6251229500001,-10909.335670625002,10967.083202575004,1.0820725546493417,-0.33343824322855775,178,54,43,272,106,2024
0.0125,200,0.6,1.25,10.0,-0.13822231644125357,298,0.6711409395973155,9929.051528675023,0.09929051528675023,906.9423121499997,-9933.289032049996,12414.696824799992,1.0226735633284034,-0.3482840022646968,183,65,50,296,133,2024
0.015,200,0.5,1.5,10.0,-0.1385174821030063,282,0.723404255319149,-16481.257895300005,-0.16481257895300006,803.6593880499997,-10909.335670625002,7467.101500900003,0.9580988931425066,-0.3435999505469186,197,56,29,279,111,2024
0.0175,200,0.7,1.5,10.0,-0.142732745272531,251,0.6972111553784861,-17449.806098025016,-0.17449806098025017,813.3658965,-11564.063142650002,10967.083202575004,0.9518224201337607,-0.3404113032576038,167,50,34,249,89,2024
0.015,200,0.5,1.25,10.0,-0.1428567050179685,285,0.7087719298245614,-23661.21327985,-0.2366121327985,776.9583769750001,-10909.335670625002,7467.101500900003,0.9408491037677424,-0.3477923383539606,194,66,25,282,110,2024
0.0125,250,0.6,1.25,10.0,-0.14344901837998492,301,0.6810631229235881,44129.778453349994,0.44129778453349994,994.81800565,-12991.326505774996,17055.535140175,1.0924233656000746,-0.33592232770585106,190,62,49,298,109,2024
0.015,200,0.6,1.25,10.0,-0.1439207444547873,281,0.7046263345195729,4503.2824408500055,0.04503282440850005,813.1847064000001,-10909.335670625002,10967.083202575004,1.0114417325510625,-0.35252130568643136,184,64,33,278,110,2024
0.0125,200,0.7,1.25,10.0,-0.14410681372452006,298,0.6577181208053692,-8248.608773024976,-0.08248608773024976,850.1437330374999,-9933.289032049996,12414.696824799992,0.9819047993492408,-0.35387651270688414,172,68,58,296,127,2024
0.0125,200,0.6,1.5,10.0,-0.14626894934754747,297,0.6902356902356902,21972.118900600006,0.21972118900600004,965.5108570500003,-9933.289032049996,12414.696824799992,1.050836764120238,-0.37135218467010345,187,53,57,295,131,2024
