signal_date,entry_weekday,status,reason,distance,width,take_profit,stop_loss,minimum_credit,expiry,entry_date,exit_date,lot,raw_credit_points,effective_credit_points,gross_pnl,costs,net_pnl,dte_at_signal,dte_at_entry,nifty_reference_signal,nifty_reference_entry,put_long,put_short,call_short,call_long,put_long_entry,put_short_entry,call_short_entry,call_long_entry,put_long_exit,put_short_exit,call_short_exit,call_long_exit,wing_width_points,max_loss_points,max_loss,lower_breakeven,upper_breakeven,return_on_capital,return_on_max_loss,eod_exit_reason,conservative_intraday_min_pnl_points,conservative_intraday_min_pnl,conservative_intraday_min_pnl_day,conservative_bound_is_not_fill,window,selection_train_start,selection_train_end,selected_score,oos_fixed_lot_equity,oos_fixed_lot_drawdown
2021-02-25,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-03-04,2021-02-26,2021-03-01,75,206.95000000000002,204.95000000000002,26238.75,165.746670575,26073.003329425,7,6,15100.55,14578.45,14600.0,14900.0,15300.0,15600.0,228.75,424.35,18.45,7.1,80.25,219.65,10.7,3.2,300.0,93.04999999999998,6978.749999999999,14693.05,15506.95,0.26073003329425,3.7360563610137922,take_profit_eod_mark,201.75,15131.25,2021-03-01,True,2021,2015-01-01,2020-12-31,0.29131667017870505,251398.15006274998,0.0
2021-03-02,1,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-03-04,2021-03-03,2021-03-04,75,122.79999999999998,120.79999999999998,9074.999999999998,109.17041149999999,8965.829588499999,2,1,14958.15,15298.85,14450.0,14750.0,15150.0,15450.0,3.55,5.55,128.95,8.15,0.15,0.2,2.3,0.15,300.0,177.20000000000002,13290.000000000002,14627.2,15272.8,0.08965829588499999,0.6746297658765987,take_profit_eod_mark,110.29999999999998,8272.499999999998,2021-03-04,True,2021,2015-01-01,2020-12-31,0.29131667017870505,260363.97965124997,0.0
2021-03-05,4,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-03-10,2021-03-08,2021-03-09,75,87.65000000000002,85.65000000000002,10125.0,108.91941440000001,10016.0805856,5,2,14953.05,14969.0,14450.0,14750.0,15150.0,15450.0,12.55,56.35,51.95,8.1,1.95,5.65,50.25,2.6,300.0,212.34999999999997,15926.249999999998,14662.35,15237.65,0.10016080585600001,0.6289038904701358,take_profit_eod_mark,88.10000000000002,6607.500000000002,2021-03-09,True,2021,2015-01-01,2020-12-31,0.29131667017870505,270380.06023684994,0.0
2021-03-12,4,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-03-18,2021-03-15,2021-03-16,75,95.55,93.55,12528.75,113.32150167500001,12415.428498325,6,3,15051.4,14968.75,14550.0,14850.0,15250.0,15550.0,21.35,88.25,36.45,7.8,11.6,73.35,18.0,4.25,300.0,204.45,15333.75,14754.45,15345.55,0.12415428498325,0.8096798564164017,take_profit_eod_mark,118.35,8876.25,2021-03-16,True,2021,2015-01-01,2020-12-31,0.29131667017870505,282795.488735175,0.0
2021-03-18,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-03-25,2021-03-19,2021-03-22,75,137.1,135.1,18097.5,124.77615829999999,17972.7238417,7,6,14577.05,14756.45,14050.0,14350.0,14800.0,15100.0,22.25,52.55,144.9,38.1,11.05,33.2,102.4,16.35,300.0,162.9,12217.5,14212.9,14937.1,0.179727238417,1.4710639526662574,take_profit_eod_mark,160.35,12026.25,2021-03-22,True,2021,2015-01-01,2020-12-31,0.29131667017870505,300768.212576875,0.0
2021-03-23,1,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-03-25,2021-03-24,2021-03-25,75,90.15,88.15,25500.0,115.15701454999999,25384.84298545,2,1,14832.9,14555.3,14300.0,14600.0,15050.0,15350.0,13.3,102.35,2.95,1.85,4.4,258.25,0.1,0.1,300.0,209.85,15738.75,14509.85,15140.15,0.2538484298545,1.6128881255150505,take_profit_eod_mark,95.5,7162.5,2021-03-25,True,2021,2015-01-01,2020-12-31,0.29131667017870505,326153.05556232494,0.0
2021-03-26,4,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-04-01,2021-03-31,2021-04-01,75,40.1,38.1,7391.25,101.38864632500001,7289.861353675,6,1,14608.5,14752.3,14100.0,14400.0,14800.0,15100.0,2.2,10.25,34.35,2.3,0.1,0.15,62.5,0.1,300.0,259.9,19492.5,14359.9,14840.1,0.07289861353674999,0.37398288334872387,take_profit_eod_mark,44.35,3326.25,2021-04-01,True,2021,2015-01-01,2020-12-31,0.29131667017870505,333442.91691599996,0.0
2021-04-05,0,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-04-08,2021-04-06,2021-04-07,75,53.500000000000014,51.500000000000014,6348.75,103.40571027499999,6245.344289725,3,2,14698.45,14751.45,14200.0,14500.0,14900.0,15200.0,8.3,39.45,25.1,2.75,2.95,7.8,31.8,1.5,300.0,246.5,18487.5,14446.5,14953.5,0.062453442897249994,0.3378144308167681,take_profit_eod_mark,53.850000000000016,4038.7500000000014,2021-04-07,True,2021,2015-01-01,2020-12-31,0.29131667017870505,339688.26120572496,0.0
2021-04-08,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-04-15,2021-04-09,2021-04-12,75,71.49999999999999,69.49999999999999,21828.75,139.264420025,21689.485579975,7,6,14924.4,14889.4,14400.0,14700.0,15150.0,15450.0,25.4,78.05,21.9,3.05,182.75,405.05,4.1,2.85,300.0,228.5,17137.5,14628.5,15221.5,0.21689485579975,1.2656154970080233,take_profit_eod_mark,-1.2500000000000142,-93.75000000000107,2021-04-12,True,2021,2015-01-01,2020-12-31,0.29131667017870505,361377.7467857,0.0
2021-04-15,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-04-22,2021-04-16,2021-04-19,75,94.05000000000001,92.05000000000001,13961.25,120.16244262499998,13841.087557375,7,6,14592.0,14645.7,14100.0,14400.0,14800.0,15100.0,25.65,66.9,59.7,6.9,55.9,147.7,6.15,1.85,300.0,205.95,15446.25,14305.95,14894.05,0.13841087557375,0.8960807676539613,take_profit_eod_mark,91.25,6843.75,2021-04-19,True,2021,2015-01-01,2020-12-31,0.29131667017870505,375218.834343075,0.0
2021-04-22,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-04-29,2021-04-23,2021-04-26,75,110.25,108.25,15457.500000000002,121.27386770000001,15336.226132300002,7,6,14403.6,14338.6,13900.0,14200.0,14600.0,14900.0,51.75,116.45,53.65,8.1,17.6,50.15,74.9,7.6,300.0,189.75,14231.25,14089.75,14710.25,0.15336226132300002,1.0776443483390428,take_profit_eod_mark,151.0,11325.0,2021-04-26,True,2021,2015-01-01,2020-12-31,0.29131667017870505,390555.060475375,0.0
2021-04-27,1,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-04-29,2021-04-28,2021-04-29,75,75.65,73.65,9236.25,105.080143775,9131.169856225,2,1,14644.7,14855.3,14150.0,14450.0,14850.0,15150.0,3.7,7.45,74.75,2.85,0.1,0.15,51.55,0.1,300.0,224.35,16826.25,14374.35,14925.65,0.09131169856225001,0.5426740869905654,take_profit_eod_mark,93.7,7027.5,2021-04-29,True,2021,2015-01-01,2020-12-31,0.29131667017870505,399686.2303316,0.0
2021-04-30,4,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-05-06,2021-05-03,2021-05-04,75,87.7,85.7,13027.5,114.46328285,12913.03671715,6,3,14690.8,14685.8,14200.0,14500.0,14900.0,15200.0,22.55,77.95,37.8,5.5,24.7,108.3,9.35,2.95,300.0,212.3,15922.5,14412.3,14987.7,0.1291303671715,0.8109930423708589,take_profit_eod_mark,93.2,6990.0,2021-05-04,True,2021,2015-01-01,2020-12-31,0.29131667017870505,412599.26704875,0.0
2021-05-06,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-05-12,2021-05-07,2021-05-10,75,76.20000000000002,74.20000000000002,10485.0,108.32298904999999,10376.67701095,6,5,14769.95,14869.55,14250.0,14550.0,15000.0,15300.0,14.85,45.35,50.05,4.35,3.45,11.0,63.15,3.1,300.0,223.79999999999998,16785.0,14473.8,15076.2,0.1037667701095,0.6182113202829908,take_profit_eod_mark,118.90000000000002,8917.500000000002,2021-05-10,True,2021,2015-01-01,2020-12-31,0.29131667017870505,422975.9440597,0.0
2021-05-14,4,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-05-20,2021-05-17,2021-05-18,75,107.80000000000001,105.80000000000001,22627.500000000004,121.34651495,22506.153485050003,6,3,14714.95,14952.1,14200.0,14500.0,14900.0,15200.0,4.85,11.65,113.0,12.0,2.2,4.75,240.3,44.95,300.0,192.2,14415.0,14392.2,15007.8,0.22506153485050004,1.5613009701734306,take_profit_eod_mark,216.95,16271.25,2021-05-18,True,2021,2015-01-01,2020-12-31,0.29131667017870505,445482.09754475,0.0
2021-05-20,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-05-27,2021-05-21,2021-05-24,75,126.30000000000001,124.30000000000001,17688.75,119.334898025,17569.415101975,7,6,14933.25,15206.2,14400.0,14700.0,15150.0,15450.0,5.85,13.75,147.55,29.15,3.35,7.85,126.35,17.3,300.0,173.7,13027.5,14573.7,15276.3,0.17569415101975,1.3486405758568412,take_profit_eod_mark,195.9,14692.5,2021-05-24,True,2021,2015-01-01,2020-12-31,0.29131667017870505,463051.51264672505,0.0
2021-05-28,4,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-06-03,2021-05-31,2021-06-01,75,38.050000000000004,36.050000000000004,4608.75,101.29978407499999,4507.450215925,6,3,15463.85,15583.2,14950.0,15250.0,15700.0,16000.0,6.25,18.15,28.3,2.15,3.3,7.4,25.6,2.3,300.0,261.95,19646.25,15211.95,15738.05,0.04507450215925,0.22943056389514535,take_profit_eod_mark,51.50000000000001,3862.5000000000005,2021-06-01,True,2021,2015-01-01,2020-12-31,0.29131667017870505,467558.96286265005,0.0
2021-06-03,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-06-10,2021-06-04,2021-06-07,75,43.65,41.65,5126.25,102.327302825,5023.922697175,7,6,15712.4,15700.85,15200.0,15500.0,15950.0,16250.0,7.65,37.35,16.7,2.75,4.4,16.2,18.9,2.0,300.0,256.35,19226.25,15456.35,15993.65,0.050239226971750005,0.2613053870190495,take_profit_eod_mark,53.85,4038.75,2021-06-07,True,2021,2015-01-01,2020-12-31,0.29131667017870505,472582.88555982505,0.0
2021-06-08,1,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-06-10,2021-06-09,2021-06-10,75,15.200000000000001,13.200000000000001,851.2500000000001,96.60254562499999,754.6474543750002,2,1,15768.6,15660.25,15250.0,15550.0,16000.0,16300.0,2.65,16.9,2.3,1.35,0.1,0.25,0.1,0.1,300.0,284.8,21360.0,15534.8,16015.2,0.007546474543750002,0.03532993700257491,take_profit_eod_mark,8.55,641.25,2021-06-10,True,2021,2015-01-01,2020-12-31,0.29131667017870505,473337.53301420005,0.0
2021-06-11,4,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-06-17,2021-06-14,2021-06-15,75,18.7,16.7,1946.25,98.69550462500001,1847.554495375,6,3,15817.3,15832.65,15300.0,15600.0,16050.0,16350.0,7.0,19.6,7.7,1.6,3.9,10.1,6.45,1.4,300.0,281.3,21097.5,15581.3,16068.7,0.01847554495375,0.08757220027846901,take_profit_eod_mark,21.15,1586.25,2021-06-15,True,2021,2015-01-01,2020-12-31,0.29131667017870505,475185.08750957507,0.0
2021-06-17,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-06-24,2021-06-18,2021-06-21,75,48.550000000000004,46.550000000000004,6045.0,103.76784665,5941.23215335,7,6,15692.15,15696.7,15150.0,15450.0,15900.0,16200.0,9.25,33.1,28.6,3.9,5.95,19.9,24.65,2.55,300.0,251.45,18858.75,15401.45,15948.55,0.0594123215335,0.31503849159408764,take_profit_eod_mark,34.900000000000006,2617.5000000000005,2021-06-21,True,2021,2015-01-01,2020-12-31,0.29131667017870505,481126.3196629251,0.0
2021-06-22,1,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-06-24,2021-06-23,2021-06-24,75,12.4,10.4,637.5,96.26208904999999,541.23791095,2,1,15773.25,15695.9,15250.0,15550.0,16000.0,16300.0,1.55,12.8,3.3,2.15,0.1,0.15,0.15,0.1,300.0,287.6,21570.0,15537.6,16012.4,0.0054123791095,0.02509216091562355,take_profit_eod_mark,6.15,461.25,2021-06-24,True,2021,2015-01-01,2020-12-31,0.29131667017870505,481667.55757387506,0.0
2021-06-25,4,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-07-01,2021-06-28,2021-06-29,75,30.550000000000004,28.550000000000004,3682.5000000000005,99.81310475000001,3582.6868952500004,6,3,15888.0,15854.95,15350.0,15650.0,16100.0,16400.0,3.95,28.6,8.3,2.4,2.05,23.3,3.1,1.8,300.0,269.45,20208.75,15619.45,16130.55,0.0358268689525,0.17728394360116287,take_profit_eod_mark,39.7,2977.5,2021-06-29,True,2021,2015-01-01,2020-12-31,0.29131667017870505,485250.24446912506,0.0
2021-07-01,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-07-08,2021-07-02,2021-07-05,75,19.200000000000003,17.200000000000003,2531.25,98.34362187500001,2432.906378125,7,6,15710.6,15741.55,15200.0,15500.0,15950.0,16250.0,3.25,14.8,9.8,2.15,2.25,5.1,17.3,1.6,300.0,280.8,21060.0,15480.8,15969.2,0.02432906378125,0.11552262004392214,take_profit_eod_mark,25.450000000000003,1908.7500000000002,2021-07-05,True,2021,2015-01-01,2020-12-31,0.29131667017870505,487683.1508472501,0.0
2021-07-08,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-07-15,2021-07-09,2021-07-12,75,29.850000000000005,27.850000000000005,3198.7500000000005,100.07694027500001,3098.6730597250003,7,6,15735.4,15722.45,15200.0,15500.0,15950.0,16250.0,5.9,22.85,16.35,3.45,2.45,13.9,7.55,2.2,300.0,270.15,20261.25,15470.15,15979.85,0.030986730597250003,0.15293592743414153,take_profit_eod_mark,30.700000000000003,2302.5,2021-07-12,True,2021,2015-01-01,2020-12-31,0.29131667017870505,490781.8239069751,0.0
2021-07-15,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-07-22,2021-07-16,2021-07-19,75,19.0,17.0,4147.5,99.71598740000002,4047.7840126,7,6,15937.3,15936.0,15400.0,15700.0,16150.0,16450.0,4.65,15.8,9.75,1.9,4.8,43.55,4.25,2.7,300.0,281.0,21075.0,15681.0,16169.0,0.040477840126,0.1920656708232503,take_profit_eod_mark,11.2,840.0,2021-07-19,True,2021,2015-01-01,2020-12-31,0.29131667017870505,494829.6079195751,0.0
2021-07-22,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-07-29,2021-07-23,2021-07-26,75,22.750000000000004,20.750000000000004,2441.2500000000005,98.973070325,2342.2769296750002,7,6,15816.9,15853.1,15300.0,15600.0,16050.0,16350.0,4.45,16.7,12.65,2.15,3.9,13.15,6.25,1.7,300.0,277.25,20793.75,15577.25,16072.75,0.023422769296750003,0.11264331492275324,take_profit_eod_mark,26.050000000000004,1953.7500000000002,2021-07-26,True,2021,2015-01-01,2020-12-31,0.29131667017870505,497171.88484925014,0.0
2021-07-29,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-08-05,2021-07-30,2021-08-02,50,25.849999999999998,23.849999999999998,2137.4999999999995,97.83953305,2039.6604669499995,7,6,15781.05,15777.25,15250.0,15550.0,16000.0,16300.0,5.25,23.85,9.45,2.2,2.85,7.1,18.7,2.05,300.0,274.15,13707.499999999998,15524.15,16025.85,0.020396604669499996,0.14879886682108334,take_profit_eod_mark,32.6,1630.0,2021-08-02,True,2021,2015-01-01,2020-12-31,0.29131667017870505,499211.5453162001,0.0
2021-08-05,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-08-12,2021-08-06,2021-08-09,50,25.799999999999997,23.799999999999997,1754.9999999999998,97.9273796,1657.0726203999998,7,6,16300.65,16251.7,15750.0,16050.0,16550.0,16850.0,7.75,27.65,7.75,1.85,4.15,14.05,4.8,1.4,300.0,274.2,13710.0,16024.2,16575.8,0.016570726204,0.12086598252370531,take_profit_eod_mark,27.799999999999997,1389.9999999999998,2021-08-09,True,2021,2015-01-01,2020-12-31,0.29131667017870505,500868.6179366001,0.0
2021-08-12,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-08-18,2021-08-13,2021-08-16,50,47.45,45.45,4360.0,100.2320574,4259.7679426,6,5,16358.6,16517.35,15850.0,16150.0,16600.0,16900.0,7.25,15.0,42.45,2.75,4.4,7.8,42.15,1.8,300.0,252.55,12627.5,16102.55,16647.45,0.042597679426000006,0.3373405616788755,take_profit_eod_mark,61.35000000000001,3067.5000000000005,2021-08-16,True,2021,2015-01-01,2020-12-31,0.29131667017870505,505128.3858792001,0.0
2021-08-20,4,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-08-26,2021-08-23,2021-08-24,50,28.35,26.35,3347.5,98.24271635,3249.25728365,6,3,16433.7,16494.25,15900.0,16200.0,16650.0,16950.0,3.05,12.3,21.4,2.3,2.55,5.0,41.85,1.7,300.0,271.65,13582.499999999998,16171.65,16678.35,0.0324925728365,0.23922380148352662,take_profit_eod_mark,39.0,1950.0,2021-08-24,True,2021,2015-01-01,2020-12-31,0.29131667017870505,508377.6431628501,0.0
2021-08-26,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-09-02,2021-08-27,2021-08-30,50,43.25,41.25,7532.5,102.10188215,7430.39811785,7,6,16634.4,16718.15,16100.0,16400.0,16850.0,17150.0,6.5,21.1,30.95,2.3,3.95,6.8,119.15,10.6,300.0,256.75,12837.5,16356.75,16893.25,0.0743039811785,0.5788041377098344,take_profit_eod_mark,66.45,3322.5,2021-08-30,True,2021,2015-01-01,2020-12-31,0.29131667017870505,515808.0412807001,0.0
2021-09-02,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-09-09,2021-09-03,2021-09-06,50,44.5,42.5,4312.5,100.59287055,4211.90712945,7,6,17247.25,17329.35,16700.0,17000.0,17500.0,17800.0,7.7,22.15,35.7,5.65,4.5,10.15,44.1,4.0,300.0,255.5,12775.0,16955.5,17544.5,0.0421190712945,0.32969918821526417,take_profit_eod_mark,74.6,3729.9999999999995,2021-09-06,True,2021,2015-01-01,2020-12-31,0.29131667017870505,520019.94841015013,0.0
2021-09-09,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-09-16,2021-09-13,2021-09-14,50,16.400000000000002,14.400000000000002,920.0000000000001,96.61741570000001,823.3825843000001,7,3,17364.3,17359.3,16800.0,17100.0,17600.0,17900.0,4.35,13.8,8.65,1.7,2.35,5.85,4.05,1.55,300.0,283.6,14180.000000000002,17083.6,17616.4,0.008233825843000002,0.05806647279971791,take_profit_eod_mark,15.400000000000002,770.0000000000001,2021-09-14,True,2021,2015-01-01,2020-12-31,0.29131667017870505,520843.33099445014,0.0
2021-09-16,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-09-23,2021-09-17,2021-09-20,50,38.95,36.95,5315.0,103.4682539,5211.5317461,7,6,17611.25,17603.15,17050.0,17350.0,17850.0,18150.0,10.65,29.25,25.6,5.25,30.75,95.5,10.85,4.25,300.0,261.05,13052.5,17311.05,17888.95,0.052115317461,0.39927460226776484,take_profit_eod_mark,20.15,1007.4999999999999,2021-09-20,True,2021,2015-01-01,2020-12-31,0.29131667017870505,526054.8627405502,0.0
2021-09-23,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-09-30,2021-09-24,2021-09-27,50,56.400000000000006,54.400000000000006,4487.5,101.93534525000001,4385.56465475,7,6,17833.1,17853.6,17300.0,17600.0,18100.0,18400.0,12.75,38.75,36.65,6.25,6.5,24.4,23.2,3.75,300.0,243.6,12180.0,17543.6,18156.4,0.0438556465475,0.3600627795361248,take_profit_eod_mark,66.45,3322.5,2021-09-27,True,2021,2015-01-01,2020-12-31,0.29131667017870505,530440.4273953001,0.0
2021-09-30,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-10-07,2021-10-01,2021-10-04,50,79.49999999999999,77.49999999999999,6205.0,104.2227677,6100.7772323,7,6,17621.75,17530.2,17100.0,17400.0,17850.0,18150.0,20.15,75.75,28.6,4.7,5.0,18.0,39.35,3.75,300.0,220.5,11025.0,17320.5,17929.5,0.061007772323,0.5533584791201814,take_profit_eod_mark,95.09999999999998,4754.999999999999,2021-10-04,True,2021,2015-01-01,2020-12-31,0.29131667017870505,536541.2046276001,0.0
2021-10-05,1,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-10-07,2021-10-06,2021-10-07,50,39.650000000000006,37.650000000000006,1785.0000000000002,97.8179811,1687.1820189000002,2,1,17829.75,17627.2,17300.0,17600.0,18100.0,18400.0,4.5,43.1,2.95,1.9,0.1,0.15,0.1,0.1,300.0,260.35,13017.500000000002,17560.35,18139.65,0.016871820189000002,0.1296087588937968,take_profit_eod_mark,31.700000000000003,1585.0000000000002,2021-10-07,True,2021,2015-01-01,2020-12-31,0.29131667017870505,538228.3866465001,0.0
