qty,entry_price,exit_price,raw_open,raw_high,raw_close,buy_value,sell_value,gross_pnl,net_pnl,fees,fee_brokerage,fee_exchange,fee_stt,fee_sebi,fee_stamp,fee_gst,return_pct,exit_reason,signal_date,entry_date,symbol,surge_probability,utility,atr_pct,relvol20,turnover_cr,risk_flag,selection_type,threshold_used,validation_precision,validation_recall,validation_specificity
225,479.989875,494.14237646437505,479.75,511.0,498.0,107997.721875,111182.03470448438,3184.3128294843773,3096.935401505076,87.37742797930139,40.0,7.561701601992211,27.795508676121095,0.21917975657948438,3.23993165625,8.561106288358598,0.02863020656893846,take_profit,2026-06-09,2026-06-10,JNKINDIA,0.8426464796066284,6.589059161175832,0.06670650906783536,13.406036200141273,1075.726339275,large_gap,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
46,2402.8008,2473.6473815880004,2401.6,2485.2,2385.4,110528.8368,113787.77955304802,3258.942753048017,3170.6236969876695,88.31905606034765,40.0,7.738923264180156,28.446944888262006,0.224316616353048,3.3158651040000002,8.593006187552428,0.028495597156612998,take_profit,2026-06-10,2026-06-11,CARTRADE,0.8124528527259827,6.665217305601598,0.0488612920896514,7.052930948039639,1881.9978781799998,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
119,956.828175,943.9278,956.35,976.4,944.4,113862.55282499999,112327.4082,-1535.1446249999863,-1623.276736909089,88.13211190910275,40.0,7.803553655362499,28.081852050000002,0.226189961025,3.41587658475,8.604639657965249,-0.014184799102121915,close_proxy,2026-06-11,2026-06-12,AEGISLOG,0.8491188287734985,7.5115544653523445,0.04121086819002359,13.061902246472266,3771.13172017,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
1285,87.713835,90.30007742497502,87.67,91.3,89.6,112712.277975,116035.5994910929,3323.3215160928958,3234.190173911762,89.13134218113396,40.0,7.891801772580205,29.008899872773224,0.2287478774660929,3.3813683392500002,8.620524319064437,0.028668215950657567,take_profit,2026-06-12,2026-06-15,IFCI,0.7635576128959656,6.486977629590845,0.06397912126894034,3.395709580663554,2034.2563533239997,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
1294,89.64479999999999,88.7556,89.6,91.49,88.8,116000.37119999998,114849.7464,-1150.624799999976,-1239.646006141072,89.02120614109599,40.0,7.9643290572,28.7124366,0.2308501176,3.4800111359999994,8.633579230295998,-0.010682120638742755,close_proxy,2026-06-15,2026-06-16,IFCI,0.7069509625434875,6.249648998484171,0.06383928571428571,3.629177764104789,2776.0457088,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
173,663.3315,682.8898292775001,663.0,734.85,685.8,114756.3495,118139.94046500752,3383.590965007519,3293.699185151827,89.89177985569233,40.0,8.034922003792758,29.534985116251878,0.2328962899650075,3.442690485,8.646285960682697,0.02868850170886048,take_profit,2026-06-16,2026-06-17,RPTECH,0.8324673771858215,6.343653438781365,0.046542839894786754,16.348957970981996,1130.43873526,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
14,8374.685249999999,8301.34725,8370.5,8575.0,8305.5,117245.59349999999,116218.86150000001,-1026.7319999999745,-1116.2418855980245,89.50988559805002,40.0,8.0545236975,29.054715375000004,0.23346445500000002,3.5173678049999997,8.64981426555,-0.009451448327032944,close_proxy,2026-06-17,2026-06-18,MTARTECH,0.7354193329811096,6.728201517294223,0.07301272474370202,1.7136599337813785,3527.2876122,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
1411,82.8414,85.283978679,82.8,87.98,85.73,116889.21539999999,120335.693916069,3446.478516069008,3355.7932651604174,90.68525090859049,40.0,8.18425937140438,30.083923479017248,0.23722490931606896,3.5066764619999997,8.673166686852788,0.02868530554967512,take_profit,2026-06-18,2026-06-19,IFCI,0.7724012136459351,6.793170266026113,0.08188555461061835,2.6424076183876655,2571.323401389,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
85,1409.354325,1378.1605749999999,1408.65,1417.65,1378.85,119795.117625,117143.64887499998,-2651.4687500000146,-2741.4312316982296,89.962481698215,40.0,8.174387444249998,29.285912218749996,0.23693876649999995,3.59385352875,8.671389739964999,-0.02278028232616109,close_proxy,2026-06-19,2026-06-22,PARAS,0.7820525765419006,6.893192031512432,0.062070574156613975,3.0921712826582763,2774.0190878850003,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
555,211.815855,195.00245,211.71,211.91,195.1,117557.799525,108226.35975,-9331.439774999992,-9418.640556206601,87.20078120661026,40.0,7.789553494987499,27.0565899375,0.22578415927499998,3.52673398575,8.60211962909775,-0.0800898993643881,close_proxy,2026-06-22,2026-06-23,NIACL,0.7240171432495117,5.81184322379888,0.043158199586467924,5.367297750126263,1716.4171763570002,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
