qty,entry_price,exit_price,raw_open,raw_high,raw_close,buy_value,sell_value,gross_pnl,net_pnl,fees,fee_brokerage,fee_exchange,fee_stt,fee_sebi,fee_stamp,fee_gst,return_pct,exit_reason,signal_date,entry_date,symbol,surge_probability,utility,atr_pct,relvol20,turnover_cr,risk_flag,selection_type,model_threshold,validation_precision,validation_recall,validation_specificity
22,663.8317499999999,629.535075,663.5,689.7,629.85,14604.298499999999,13849.77165,-754.5268499999984,-806.8142411334549,52.2873911334565,40.0,0.9816654201749999,3.4624429125000002,0.02845407015,0.438128955,7.3766997756315,-0.05440884885958626,close,2026-06-04,2026-06-05,JSLL,0.7780114412307739,6.389515446160532,0.0839140534262486,6.566379864161246,1528.5058882199999,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
139,106.51323,102.67863500000001,106.46,107.35,102.73,14805.338969999999,14272.330265000002,-533.0087049999966,-585.4337773191384,52.425072319141854,40.0,1.0031795886075,3.5680825662500006,0.029077669235,0.4441601691,7.38057232594935,-0.03947969220610834,close,2026-06-04,2026-06-05,PWL,0.8137226104736328,6.080641225866451,0.0626996054856284,7.390316764617718,823.5144952679999,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
75,196.09799999999998,187.136385,196.0,197.0,187.23,14707.349999999999,14035.228874999999,-672.1211249999997,-724.4700056836259,52.34888068362625,40.0,0.9916189711875,3.50880721875,0.028742578874999997,0.44122049999999996,7.37849141481375,-0.048855829549027445,close,2026-06-04,2026-06-05,HFCL,0.7439351081848145,6.019149451023204,0.05614833715097566,1.0767983750616228,1552.5386335160001,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
35,422.21099999999996,421.13932500000004,422.0,432.7,421.35,14777.384999999998,14739.876375000002,-37.508624999996755,-90.06808061569801,52.55945561570125,40.0,1.0183455174375,3.6849690937500004,0.029517261375,0.44332154999999995,7.38330219313875,-0.006073889546629797,close,2026-06-04,2026-06-05,APOLLO,0.7281917929649353,5.8247653548047955,0.07429968647764448,0.8502431867144135,1262.8454076799999,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
125,113.0565,111.03445500000001,113.0,117.2,111.09,14132.0625,13879.306875,-252.75562499999978,-305.01776781038103,52.26214281038125,40.0,0.9663922434375001,3.4698267187500003,0.028011369375,0.423961875,7.3739506038187494,-0.021447021697697737,close,2026-06-05,2026-06-08,ZEEL,0.7354643940925598,6.301742871930055,0.05022331369530086,5.782845423882386,2585.3601502489996,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
22,620.31,613.9428750000001,620.0,644.9,614.25,13646.82,13506.743250000001,-140.07674999999836,-192.19541553565585,52.118665535657506,40.0,0.936797932125,3.3766858125000003,0.02715356325,0.4094046,7.3686236277825,-0.013514029942523742,close,2026-06-05,2026-06-08,JSLL,0.8222261071205139,5.956233767728333,0.09081527347781222,2.5158811980888367,643.1215063650001,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
14,948.4739999999999,964.2676250000001,948.0,984.4,964.75,13278.635999999999,13499.74675,221.11075000000164,169.02052788799915,52.09022211200249,40.0,0.9238542048749998,3.3749366875,0.026778382749999996,0.39835908,7.3662937568775,0.01188451071225389,close,2026-06-05,2026-06-08,PARAS,0.7359786629676819,5.845561352182554,0.051457733538658394,5.12656150131008,1434.49002405,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
20,680.3399999999999,666.8664000000001,680.0,692.15,667.2,13606.8,13337.328000000001,-269.47199999999793,-321.53837557887795,52.06637557888,40.0,0.929572416,3.3343320000000003,0.026944127999999998,0.408204,7.367323034879999,-0.022608651840799347,close,2026-06-05,2026-06-08,HSCL,0.7099674940109253,5.732044986495757,0.048620017308434224,2.1869428795869146,1674.651239895,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
7,1900.9499999999998,1891.9535500000002,1900.0,1964.0,1892.9,13306.649999999998,13243.674850000001,-62.975149999996574,-114.99268226199007,52.017532261993495,40.0,0.9159862073249999,3.3109187125000004,0.026550324849999998,0.39919949999999993,7.364877517318499,-0.008085596354775454,close,2026-06-05,2026-06-08,WOCKPHARMA,0.7659532427787781,5.552279625755053,0.07253296445862434,1.0354268650386715,645.8968623,normal,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
93,150.585255,147.29631500000002,150.51,151.13,147.37,14004.428714999998,13698.557295000002,-305.87141999999585,-358.071683731673,52.200263731677104,40.0,0.955753017345,3.4246393237500006,0.02770298601,0.42013286144999995,7.3720355431221005,-0.02545116095608906,close,2026-06-08,2026-06-09,EXICOM,0.8425235748291016,6.64954927544684,0.10154596615767143,8.292577377170273,1148.178819591,very_high_volatility,forced_fallback,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576
