signal_date,entry_date,exit_date,expiry,strategy,regime,lot_size,lots,qty,risk_cash,gross_pnl,costs,net_pnl,capital_return,theoretical_max_profit,theoretical_max_loss,window,predicted_risk_return,prediction_edge,train_regime_best_risk_return
2023-08-03,2023-08-04,2023-08-11,2023-08-24,BULL_PUT_SPREAD,BULL_LOW_VOL,50,1,50,2787.5,-639.9999999999991,132.1821992,-772.1821991999991,-0.007721821991999991,2212.5,-2787.5,3,1760.1319948179028,161.0415960012465,0.056228202497753815
2023-08-14,2023-08-16,2023-08-23,2023-08-31,BULL_PUT_SPREAD,BULL_LOW_VOL,50,1,50,2945.0000000000005,-555.0000000000005,123.1590923,-678.1590923000005,-0.006781590923000004,2054.9999999999995,-2945.0000000000005,3,1052.6330856322402,79.26442301483303,0.056228202497753815
2023-08-24,2023-08-25,2023-09-01,2023-09-14,BULL_PUT_SPREAD,BULL_LOW_VOL,50,1,50,2910.000000000001,1062.4999999999993,117.00461135,945.4953886499993,0.009454953886499994,2089.999999999999,-2910.000000000001,3,2794.3901287124045,329.30825745230595,0.056228202497753815
2023-09-05,2023-09-06,2023-09-13,2023-09-21,IRON_BUTTERFLY,BULL_LOW_VOL,50,1,50,2670.000000000002,-2309.9999999999995,256.69735360000004,-2566.6973535999996,-0.025666973535999997,7329.999999999998,-2670.000000000002,3,449.74429595107046,41.90248913978786,-0.12498744663877254
2023-09-14,2023-09-15,2023-09-25,2023-10-05,BULL_PUT_SPREAD,BULL_LOW_VOL,50,1,50,3260.0,-2992.499999999998,161.6866419500002,-3154.1866419499984,-0.031541866419499985,1739.9999999999998,-3260.0,3,3690.990510824039,617.4032198266195,0.056228202497753815
2023-09-26,2023-09-27,2023-10-05,2023-10-12,BULL_PUT_SPREAD,BULL_LOW_VOL,50,1,50,3469.9999999999995,-1782.4999999999995,123.89888795000002,-1906.3988879499996,-0.019063988879499994,1530.0000000000005,-3469.9999999999995,3,966.1622221811588,1.0878851738117419,0.056228202497753815
2023-10-06,2023-10-09,2023-10-16,2023-10-26,BULL_PUT_SPREAD,BULL_LOW_VOL,50,1,50,2939.999999999999,950.0000000000007,121.89511549999997,828.1048845000007,0.008281048845000007,2060.000000000001,-2939.999999999999,3,1362.5170728228852,124.82236502468027,0.056228202497753815
2023-10-18,2023-10-19,2023-10-27,2023-11-02,BULL_PUT_SPREAD,BULL_LOW_VOL,50,1,50,3350.0,-3102.4999999999977,161.92417054999987,-3264.4241705499976,-0.032644241705499975,1650.0,-3350.0,3,1206.7724507269395,90.16524603624862,0.056228202497753815
2023-10-30,2023-10-31,2023-11-07,2023-11-16,BULL_CALL_SPREAD,BEAR_LOW_VOL,50,1,50,2404.9999999999995,1660.000000000001,146.36021540000002,1513.639784600001,0.015136397846000009,2595.0000000000005,-2404.9999999999995,3,388.30755512600183,157.73433223235293,0.06961867346015557
2023-11-08,2023-11-09,2023-11-17,2023-11-23,BULL_PUT_SPREAD,BEAR_LOW_VOL,50,1,50,2727.499999999999,1780.0000000000011,112.92432800000006,1667.075672000001,0.01667075672000001,2272.500000000001,-2727.499999999999,3,1676.6482790914986,108.97662046308915,0.03332450382938343
2023-11-20,2023-11-21,2023-11-29,2023-12-07,BULL_CALL_SPREAD,BULL_LOW_VOL,50,1,50,2667.4999999999995,1302.500000000002,153.51154715000007,1148.988452850002,0.01148988452850002,2332.5000000000005,-2667.4999999999995,3,345.22423991451154,22.25894940256393,0.006988442860971814
2023-11-30,2023-12-01,2023-12-08,2023-12-21,IRON_BUTTERFLY,BULL_LOW_VOL,50,1,50,1867.4999999999998,-1800.0,295.93208049999976,-2095.9320804999998,-0.020959320804999997,8132.5,-1867.4999999999998,3,2144.8459737682197,55.635162025950194,-0.12498744663877254
2023-12-11,2023-12-12,2023-12-19,2023-12-28,BULL_PUT_SPREAD,BULL_LOW_VOL,50,1,50,2972.4999999999995,1582.5000000000002,116.35502885000005,1466.1449711500002,0.014661449711500001,2027.5000000000005,-2972.4999999999995,3,991.0505943483607,540.348498061456,0.056228202497753815
2023-12-20,2023-12-21,2023-12-29,2024-01-04,BULL_PUT_SPREAD,BULL_LOW_VOL,50,1,50,3112.5,1402.5000000000005,116.51162795000005,1285.9883720500004,0.012859883720500004,1887.5,-3112.5,3,902.7206506396785,137.54679895132392,0.056228202497753815
2024-01-01,2024-01-02,2024-01-09,2024-01-18,BEAR_PUT_SPREAD,BULL_LOW_VOL,50,1,50,2255.000000000001,752.5000000000006,148.87404095,603.6259590500006,0.006036259590500006,2744.999999999999,-2255.000000000001,4,364.46631706409136,87.79314888096502,-0.28143695391304335
2024-01-10,2024-01-11,2024-01-18,2024-01-25,BULL_PUT_SPREAD,BULL_LOW_VOL,50,1,50,2772.4999999999995,-892.4999999999998,143.50246055000002,-1036.0024605499998,-0.010360024605499998,2227.5000000000005,-2772.4999999999995,4,37.88423107724982,0.16361792660258345,0.056228202497753815
2024-01-19,2024-01-23,2024-01-31,2024-02-08,BULL_CALL_SPREAD,BULL_LOW_VOL,50,1,50,2722.4999999999995,1134.9999999999995,202.16226740000002,932.8377325999995,0.009328377325999995,2277.5000000000005,-2722.4999999999995,4,59.16244726995699,1.8820941616016924,-0.003603334717117242
2024-02-01,2024-02-02,2024-02-09,2024-02-22,IRON_BUTTERFLY,BULL_LOW_VOL,50,1,50,929.9999999999998,132.50000000000028,289.46670174999997,-156.9667017499997,-0.001569667017499997,9070.0,-929.9999999999998,4,50.243736838079684,1.0938788976041565,-0.112472774854013
2024-02-12,2024-02-13,2024-02-20,2024-02-29,BULL_PUT_SPREAD,BULL_LOW_VOL,50,1,50,2990.0000000000005,1082.4999999999989,129.57757834999995,952.9224216499989,0.00952922421649999,2009.9999999999995,-2990.0000000000005,4,37.88423107724982,0.16361792660258345,0.056228202497753815
2024-02-21,2024-02-22,2024-02-29,2024-03-07,IRON_BUTTERFLY,BULL_LOW_VOL,50,1,50,1340.000000000002,450.0,267.4518856,182.54811439999997,0.0018254811439999998,8659.999999999998,-1340.000000000002,4,501.3140859434873,283.82362624314135,-0.112472774854013
2024-03-01,2024-03-04,2024-03-12,2024-03-21,BULL_CALL_SPREAD,BULL_LOW_VOL,50,1,50,2384.9999999999995,-432.49999999999886,132.98031274999994,-565.4803127499988,-0.005654803127499988,2615.0000000000005,-2384.9999999999995,4,238.13331700966225,20.75200015974673,-0.003603334717117242
2024-03-13,2024-03-14,2024-03-21,2024-03-28,BULL_PUT_SPREAD,BULL_LOW_VOL,50,1,50,2920.0000000000005,-997.5000000000009,137.24638234999998,-1134.7463823500009,-0.011347463823500008,2079.9999999999995,-2920.0000000000005,4,37.88423107724982,0.16361792660258345,0.056228202497753815
2024-03-22,2024-03-26,2024-04-03,2024-04-10,BULL_PUT_SPREAD,BULL_LOW_VOL,50,1,50,3342.500000000001,1042.4999999999982,116.61257375000002,925.8874262499982,0.009258874262499982,1657.4999999999989,-3342.500000000001,4,1438.0365797324046,174.12593343813523,0.056228202497753815
2024-04-04,2024-04-05,2024-04-15,2024-04-25,BULL_PUT_SPREAD,BULL_LOW_VOL,50,1,50,2907.5000000000005,-1179.9999999999998,152.1792172999999,-1332.1792172999997,-0.013321792172999997,2092.4999999999995,-2907.5000000000005,4,72.20826731834048,1.7952341456497578,0.056228202497753815
2024-04-16,2024-04-18,2024-04-25,2024-05-02,BULL_PUT_SPREAD,BULL_LOW_VOL,25,1,25,1557.5000000000002,735.0000000000001,106.24856120000004,628.7514388000001,0.006287514388,942.4999999999998,-1557.5000000000002,4,37.88423107724982,0.16361792660258345,0.056228202497753815
2024-04-26,2024-04-29,2024-05-07,2024-05-16,IRON_CONDOR,BULL_LOW_VOL,25,1,25,1307.5000000000002,-215.00000000000057,226.31382804999998,-441.31382805000055,-0.004413138280500006,3692.4999999999995,-1307.5000000000002,4,182.40169263618307,80.69900841602248,-0.03716481564581632
2024-05-08,2024-05-09,2024-05-16,2024-05-23,BULL_CALL_SPREAD,BULL_LOW_VOL,25,1,25,1110.0000000000002,869.9999999999995,125.77182874999994,744.2281712499996,0.007442281712499996,1389.9999999999998,-1110.0000000000002,4,229.15707869408442,135.53933765342654,-0.003603334717117242
2024-05-29,2024-05-30,2024-06-06,2024-06-13,IRON_CONDOR,BULL_HIGH_VOL,25,1,25,649.9999999999972,281.2500000000014,259.773732475,21.476267525001447,0.00021476267525001447,4350.000000000003,-649.9999999999972,4,129.07452926957427,7.410484628453389,0.09948473627429842
2024-06-07,2024-06-10,2024-06-18,2024-06-27,BULL_CALL_SPREAD,BULL_HIGH_VOL,25,1,25,1326.2500000000002,627.4999999999991,131.9641112,495.5358887999991,0.004955358887999991,1173.7499999999998,-1326.2500000000002,4,665.8559981349732,274.5944825831675,0.05960445359285399
2024-06-19,2024-06-20,2024-06-27,2024-07-04,IRON_BUTTERFLY,BULL_HIGH_VOL,25,1,25,748.7500000000011,-461.25000000000114,234.10556507500007,-695.3555650750012,-0.006953555650750012,4251.249999999999,-748.7500000000011,4,1993.6829763440287,233.70641458433124,-0.22302473562441136
2024-06-28,2024-07-01,2024-07-08,2024-07-18,IRON_BUTTERFLY,BULL_HIGH_VOL,25,1,25,546.2499999999991,203.75000000000085,232.29199112499998,-28.54199112499913,-0.0002854199112499913,4453.750000000001,-546.2499999999991,4,167.293123403668,76.24339359495636,-0.22302473562441136
2024-07-09,2024-07-10,2024-07-18,2024-07-25,IRON_CONDOR,BULL_LOW_VOL,25,1,25,1199.9999999999986,-396.24999999999915,237.26932322500005,-633.5193232249992,-0.006335193232249992,3800.0000000000014,-1199.9999999999986,4,3659.6451698197257,2562.608966517483,-0.03716481564581632
2024-07-19,2024-07-22,2024-07-29,2024-08-08,BULL_PUT_SPREAD,BULL_LOW_VOL,25,1,25,1416.2499999999995,615.0000000000006,115.13097304999997,499.8690269500006,0.004998690269500006,1083.7500000000005,-1416.2499999999995,4,47.86004882539676,2.047604534269901,0.056228202497753815
2024-07-30,2024-07-31,2024-08-07,2024-08-14,BULL_PUT_SPREAD,BULL_LOW_VOL,25,1,25,1350.0,-1048.7500000000011,144.04353567499993,-1192.793535675001,-0.01192793535675001,1150.0,-1350.0,4,67.29406495026768,2.233203062358143,0.056228202497753815
2024-08-08,2024-08-09,2024-08-19,2024-08-29,BULL_CALL_SPREAD,BULL_LOW_VOL,25,1,25,1318.75,227.50000000000057,127.17448745000002,100.32551255000055,0.0010032551255000056,1181.25,-1318.75,4,265.49825516780356,164.16535143725378,-0.003603334717117242
2024-08-20,2024-08-21,2024-08-28,2024-09-05,BULL_PUT_SPREAD,BULL_LOW_VOL,25,1,25,1551.2499999999995,493.7500000000007,107.885705675,385.8642943250007,0.003858642943250007,948.7500000000005,-1551.2499999999995,4,37.88423107724982,0.16361792660258345,0.056228202497753815
2024-08-29,2024-08-30,2024-09-06,2024-09-19,IRON_BUTTERFLY,BULL_LOW_VOL,25,1,25,781.2499999999986,-201.25000000000028,244.826742475,-446.0767424750003,-0.0044607674247500026,4218.750000000002,-781.2499999999986,4,40.4709820138037,0.3652083092457872,-0.112472774854013
2024-09-09,2024-09-10,2024-09-17,2024-09-26,BULL_PUT_SPREAD,BULL_LOW_VOL,25,1,25,1477.4999999999998,567.5000000000005,113.65746094999997,453.8425390500005,0.004538425390500005,1022.5000000000001,-1477.4999999999998,4,37.88423107724982,0.16361792660258345,0.056228202497753815
2024-09-18,2024-09-19,2024-09-26,2024-10-03,IRON_CONDOR,BULL_LOW_VOL,25,1,25,1528.750000000001,-1204.9999999999982,236.19290215,-1441.1929021499982,-0.014411929021499983,3471.249999999999,-1528.750000000001,4,172.3956718106837,49.81799355996141,-0.03716481564581632
2024-09-27,2024-09-30,2024-10-08,2024-10-17,BULL_PUT_SPREAD,BULL_LOW_VOL,25,1,25,1278.7500000000002,-550.0,163.11043775000007,-713.1104377500001,-0.007131104377500001,1221.2499999999998,-1278.7500000000002,4,37.88423107724982,0.16361792660258345,0.056228202497753815
2024-10-09,2024-10-10,2024-10-17,2024-10-24,IRON_BUTTERFLY,BULL_LOW_VOL,25,1,25,754.9999999999998,98.75000000000043,230.059864675,-131.30986467499957,-0.0013130986467499957,4245.0,-754.9999999999998,4,182.86828183882486,38.89247403725619,-0.112472774854013
2024-10-18,2024-10-21,2024-10-28,2024-11-07,BULL_PUT_SPREAD,RANGE_LOW_VOL,25,1,25,1516.2500000000002,-802.4999999999999,133.98187715000006,-936.48187715,-0.0093648187715,983.7499999999999,-1516.2500000000002,4,37.83080274188544,0.0839219143348231,-0.1218662487168483
2024-10-29,2024-10-30,2024-11-06,2024-11-14,BULL_CALL_SPREAD,BEAR_LOW_VOL,25,1,25,1453.7499999999995,38.750000000000284,129.35431887500002,-90.60431887499973,-0.0009060431887499973,1046.2500000000005,-1453.7499999999995,4,78.19191568586615,30.16344956318042,0.04459638096168321
2024-11-07,2024-11-08,2024-11-18,2024-11-28,BULL_PUT_SPREAD,BEAR_LOW_VOL,75,1,75,4481.25,-3948.749999999998,253.46835957500025,-4202.218359574998,-0.04202218359574998,3018.75,-4481.25,4,286.1423217129913,18.088384499030155,0.0600601453663297
2024-11-19,2024-11-21,2024-11-28,2024-12-05,BULL_CALL_SPREAD,BEAR_LOW_VOL,75,1,75,4072.500000000001,1361.249999999994,252.5159359249999,1108.7340640749942,0.011087340640749942,3427.499999999999,-4072.500000000001,4,101.19099383523101,34.832148941477016,0.04459638096168321
2024-11-29,2024-12-02,2024-12-09,2024-12-19,BULL_CALL_SPREAD,BEAR_LOW_VOL,75,1,75,4620.0,18.75000000000213,192.77065902500001,-174.02065902499788,-0.0017402065902499789,2880.0000000000005,-4620.0,4,244.26012888054942,208.10528715329787,0.04459638096168321
2024-12-10,2024-12-11,2024-12-18,2024-12-26,BULL_PUT_SPREAD,RANGE_LOW_VOL,75,1,75,4207.499999999997,-3142.5000000000027,224.07587990000002,-3366.5758799000027,-0.03366575879900003,3292.5000000000027,-4207.499999999997,4,45.01539343593331,1.5208873982258169,-0.1218662487168483
2024-12-20,2024-12-23,2024-12-31,2025-01-09,BULL_PUT_SPREAD,BEAR_LOW_VOL,75,1,75,4691.250000000001,-615.0000000000013,168.12134494999998,-783.1213449500012,-0.007831213449500012,2808.749999999999,-4691.250000000001,4,1552.2390304938378,86.62680817523437,0.0600601453663297
2025-01-01,2025-01-02,2025-01-09,2025-01-16,BULL_PUT_SPREAD,BEAR_LOW_VOL,75,1,75,3982.4999999999995,-3780.0000000000027,257.07244579999997,-4037.0724458000027,-0.040370724458000024,3517.5000000000005,-3982.4999999999995,5,252.20810972730123,30.795278050218883,-0.004873907368143999
2025-01-10,2025-01-13,2025-01-20,2025-01-30,BULL_PUT_SPREAD,BEAR_LOW_VOL,75,1,75,4297.500000000001,877.4999999999991,166.74205444999996,710.7579455499991,0.007107579455499991,3202.499999999999,-4297.500000000001,5,121.78577461875142,26.339688347046362,-0.004873907368143999
2025-01-21,2025-01-22,2025-01-29,2025-02-06,BULL_CALL_SPREAD,BEAR_LOW_VOL,75,1,75,3806.25,-251.2500000000017,213.07225332500002,-464.3222533250017,-0.004643222533250017,3693.75,-3806.25,5,14.239486059579518,8.666222249010136,-0.02233758492631566
2025-01-31,2025-02-03,2025-02-10,2025-02-20,BULL_PUT_SPREAD,BEAR_LOW_VOL,75,1,75,4027.499999999999,22.500000000000853,179.9719424,-157.47194239999914,-0.0015747194239999914,3472.500000000001,-4027.499999999999,5,11.535688012327322,0.7778914723266119,-0.004873907368143999
2025-02-11,2025-02-12,2025-02-19,2025-02-27,BULL_PUT_SPREAD,BEAR_LOW_VOL,75,1,75,4297.499999999999,-1083.749999999997,174.9093787249999,-1258.659378724997,-0.01258659378724997,3202.5000000000014,-4297.499999999999,5,28.49101281361294,5.056696265947842,-0.004873907368143999
2025-02-20,2025-02-21,2025-03-03,2025-03-13,BULL_PUT_SPREAD,BEAR_LOW_VOL,75,1,75,4556.25,-3817.499999999998,234.2542818500001,-4051.7542818499983,-0.04051754281849998,2943.75,-4556.25,5,18.544836845031696,3.98686331684665,-0.004873907368143999
2025-03-04,2025-03-05,2025-03-12,2025-03-20,BULL_PUT_SPREAD,BEAR_LOW_VOL,75,1,75,4038.7499999999995,573.7500000000005,156.47660652499997,417.2733934750005,0.0041727339347500045,3461.2500000000005,-4038.7499999999995,5,311.6262459036539,29.70315153827204,-0.004873907368143999
2025-03-17,2025-03-18,2025-03-25,2025-04-03,BULL_PUT_SPREAD,BEAR_LOW_VOL,75,1,75,4492.5,2561.2500000000005,133.493017625,2427.7569823750005,0.024277569823750005,3007.4999999999995,-4492.5,5,29.990541600701302,2.732942303541652,-0.004873907368143999
2025-03-26,2025-03-27,2025-04-04,2025-04-17,BULL_PUT_SPREAD,RANGE_LOW_VOL,75,1,75,4875.0,-4301.249999999993,243.83479107499988,-4545.084791074993,-0.04545084791074993,2625.0,-4875.0,5,316.4430847526418,41.12894230556384,-0.34807074256864456
2025-04-07,2025-04-08,2025-04-17,2025-04-24,BULL_CALL_SPREAD,RANGE_LOW_VOL,75,1,75,3813.750000000002,3303.750000000005,365.2612133749999,2938.488786625005,0.029384887866250053,3686.249999999998,-3813.750000000002,5,489.5732406341563,198.96670912314886,-0.4846527034619392
2025-04-21,2025-04-22,2025-04-29,2025-05-08,BULL_CALL_SPREAD,RANGE_LOW_VOL,75,1,75,4140.000000000004,629.9999999999983,203.42130874999998,426.5786912499983,0.004265786912499983,3359.9999999999964,-4140.000000000004,5,235.6622261102844,214.11795475003592,-0.4846527034619392
2025-04-30,2025-05-02,2025-05-09,2025-05-22,BULL_PUT_SPREAD,BULL_LOW_VOL,75,1,75,4563.749999999997,-1619.9999999999975,245.03167295000003,-1865.0316729499975,-0.018650316729499974,2936.2500000000027,-4563.749999999997,5,370.44166701032503,14.9424299308792,0.029377923609154727
2025-05-12,2025-05-13,2025-05-20,2025-05-29,BULL_CALL_SPREAD,BULL_LOW_VOL,75,1,75,3607.4999999999973,517.5000000000005,197.64318185000002,319.85681815000044,0.0031985681815000044,3892.5000000000027,-3607.4999999999973,5,239.9142521451442,239.48154367587156,-0.04974074350393658
2025-05-21,2025-05-22,2025-05-29,2025-06-05,BEAR_PUT_SPREAD,BULL_LOW_VOL,75,1,75,2992.5000000000027,-727.5000000000034,156.48858934999998,-883.9885893500034,-0.008839885893500033,4507.499999999997,-2992.5000000000027,5,6.941120356979805,6.768355312066375,-0.27658899450151025
2025-05-30,2025-06-02,2025-06-09,2025-06-19,BULL_CALL_SPREAD,BULL_LOW_VOL,75,1,75,3798.749999999998,1162.5,218.81186585,943.68813415,0.0094368813415,3701.250000000002,-3798.749999999998,5,0.17810180651958588,0.17523415123519628,-0.04974074350393658
2025-06-10,2025-06-11,2025-06-18,2025-06-26,BULL_PUT_SPREAD,BULL_LOW_VOL,75,1,75,4365.000000000001,-2460.000000000003,205.00607734999994,-2665.006077350003,-0.02665006077350003,3134.9999999999986,-4365.000000000001,5,2.4593656367561523,0.444682134581873,0.029377923609154727
2025-06-19,2025-06-20,2025-06-27,2025-07-10,BULL_PUT_SPREAD,BULL_LOW_VOL,75,1,75,4604.999999999998,1860.000000000001,153.33171964999997,1706.668280350001,0.01706668280350001,2895.000000000002,-4604.999999999998,5,44.0958205689077,19.564539632431146,0.029377923609154727
2025-06-30,2025-07-01,2025-07-08,2025-07-17,BULL_CALL_SPREAD,BULL_LOW_VOL,75,1,75,3221.249999999999,-517.4999999999983,151.54888174999996,-669.0488817499983,-0.006690488817499982,4278.750000000001,-3221.249999999999,5,0.17890953937196755,0.1747574773884859,-0.04974074350393658
2025-07-09,2025-07-10,2025-07-17,2025-07-24,BULL_CALL_SPREAD,BULL_LOW_VOL,75,1,75,3581.25,-2448.7500000000005,131.65018842500012,-2580.4001884250006,-0.025804001884250007,3918.75,-3581.25,5,0.1737019670114525,0.17204191769961552,-0.04974074350393658
2025-07-18,2025-07-21,2025-07-28,2025-08-07,BULL_CALL_SPREAD,BULL_LOW_VOL,75,1,75,3780.0000000000005,-2816.250000000001,136.26188112499995,-2952.511881125001,-0.029525118811250008,3719.9999999999995,-3780.0000000000005,5,0.1742720813239926,0.17478204040602396,-0.04974074350393658
2025-07-29,2025-07-30,2025-08-06,2025-08-14,BULL_PUT_SPREAD,RANGE_LOW_VOL,75,1,75,4811.249999999998,-2658.749999999999,169.8250843249998,-2828.575084324999,-0.02828575084324999,2688.750000000002,-4811.249999999998,5,20.65553377702822,3.8278109673648153,-0.34807074256864456
2025-08-07,2025-08-08,2025-08-18,2025-08-28,BULL_PUT_SPREAD,BEAR_LOW_VOL,75,1,75,4391.250000000001,2276.2499999999995,141.9505156250002,2134.2994843749993,0.021342994843749994,3108.749999999999,-4391.250000000001,5,1880.0801786495542,232.25343444720784,-0.004873907368143999
2025-08-19,2025-08-20,2025-08-28,2025-09-09,BULL_CALL_SPREAD,BEAR_LOW_VOL,75,1,75,3885.000000000001,-3266.250000000001,139.48635882500002,-3405.736358825001,-0.03405736358825001,3614.999999999999,-3885.000000000001,5,141.166009699156,69.51939135045708,-0.02233758492631566
2025-08-29,2025-09-01,2025-09-08,2025-09-16,BULL_PUT_SPREAD,RANGE_LOW_VOL,75,1,75,4061.2500000000005,1016.2499999999998,143.880979175,872.3690208249998,0.008723690208249998,3438.7499999999995,-4061.2500000000005,5,73.06168641998896,9.80304930604052,-0.34807074256864456
2025-09-09,2025-09-10,2025-09-17,2025-09-30,BULL_PUT_SPREAD,RANGE_LOW_VOL,75,1,75,4364.999999999999,2002.5000000000014,137.40255709999997,1865.0974429000014,0.018650974429000013,3135.000000000001,-4364.999999999999,5,370.7302374025513,70.53183172192979,-0.34807074256864456
