qty,entry_price,exit_price,raw_open,raw_high,raw_close,buy_value,sell_value,gross_pnl,net_pnl,fees,fee_brokerage,fee_exchange,fee_stt,fee_sebi,fee_stamp,fee_gst,return_pct,exit_reason,signal_date,entry_date,symbol,surge_probability,utility,expected_intraday_return,expected_return_utility,atr_pct,relvol20,turnover_cr,risk_flag,selection_type,threshold_used,validation_precision,validation_recall,validation_specificity,return_validation_mae,return_validation_rank_ic
56,439.269525,446.9764,439.05,448.8,447.2,24599.093399999998,25030.6784,431.58500000000276,375.31929981622477,56.265700183778,40.0,1.7122271271,6.257669600000001,0.0496297718,0.7379728019999999,7.508200882878,0.01504856066443109,close_proxy,2026-07-28,2026-07-29,VBL,0.5638724565505981,4.525729709090831,0.022513166069984436,4.444300462040709,0.028662790697674412,6.20654881839661,2062.958239,normal,expected_return_rank,0.875,0.85,0.002509151021372063,0.9998619750450881,0.01566629484295845,0.27418145380147374
6,3651.825,3619.6892500000004,3650.0,3732.9,3621.5,21910.949999999997,21718.135500000004,-192.81449999999313,-247.92113153119814,55.106631531205004,40.0,1.50520344975,5.4295338750000015,0.0436290855,0.6573285,7.470936620954999,-0.009806617710738545,close_proxy,2026-07-29,2026-07-30,KAYNES,0.6829684376716614,5.550851588371164,0.024839550256729126,4.6247842689972645,0.03132287928638175,4.734892800078414,2193.5987795399997,normal,expected_return_rank,0.875,0.85,0.002509151021372063,0.9998619750450881,0.01566629484295845,0.27418145380147374
3,7889.442749999999,7831.0825,7885.5,7938.0,7835.0,23668.32825,23493.2475,-175.08074999999735,-230.83122104702986,55.750471047032505,40.0,1.627074363375,5.873311875000001,0.047161575750000004,0.7100498475,7.4928733854075,-0.009130619590715882,close_proxy,2026-07-29,2026-07-30,DIVISLAB,0.25737956166267395,1.8208959596714085,0.018771477043628693,3.9915734062570616,0.022003431727884163,2.4623421730560726,901.54707695,normal,expected_return_rank,0.875,0.85,0.002509151021372063,0.9998619750450881,0.01566629484295845,0.27418145380147374
41,610.305,589.4551250000001,610.0,621.0,589.75,25022.504999999997,24167.660125000002,-854.8448749999952,-910.889186968609,56.04431196861375,40.0,1.6970606968125,6.04191503125,0.049190165125,0.75067515,7.505470925426249,-0.03603057947612871,close_proxy,2026-07-29,2026-07-30,KPITTECH,0.48115238547325134,3.824050594180389,0.021475642919540405,3.7992458055883493,0.03244618395303325,5.346860282104163,1823.633230125,normal,expected_return_rank,0.875,0.85,0.002509151021372063,0.9998619750450881,0.01566629484295845,0.27418145380147374
3,7902.9495,7829.583250000001,7899.0,7899.0,7833.5,23708.8485,23488.749750000003,-220.09874999999738,-275.8508147155049,55.7520647155075,40.0,1.628317139625,5.872187437500001,0.04719759825,0.711265455,7.493097085132499,-0.011115043861262355,close_proxy,2026-07-30,2026-07-31,EICHERMOT,0.19599725306034088,1.4351730465187262,0.0152524933218956,3.6933172160047523,0.01922816519972918,2.68245224072364,1183.95291375,normal,expected_return_rank,0.875,0.85,0.002509151021372063,0.9998619750450881,0.01566629484295845,0.27418145380147374
62,399.1995,385.70705,399.0,399.0,385.9,24750.369,23913.837099999997,-836.5319000000018,-892.4826543814328,55.950754381431,40.0,1.6789151104499997,5.978459275,0.048664206099999996,0.7425110699999999,7.502204719881,-0.03596140855736214,close_proxy,2026-07-30,2026-07-31,SYNGENE,0.5899350047111511,3.970824566099494,0.01976371556520462,3.220879342055649,0.02923704551961063,9.094680129475417,597.5049153599999,normal,expected_return_rank,0.875,0.85,0.002509151021372063,0.9998619750450881,0.01566629484295845,0.27418145380147374
134,184.942425,183.558175,184.85,185.24,183.65,24782.284949999997,24596.79545,-185.48949999999604,-241.64176885448003,56.152268854484,40.0,1.7035782737999998,6.1491988625000005,0.0493790804,0.7434685485,7.506644089283999,-0.009736635587973849,close_proxy,2026-07-30,2026-07-31,WIPRO,0.34827733039855957,2.4953698150503523,0.015933819115161896,3.6654667119288282,0.02006041508537078,3.0903288573885987,1006.466488644,normal,expected_return_rank,0.875,0.85,0.002509151021372063,0.9998619750450881,0.01566629484295845,0.27418145380147374
20,1176.88815,1152.4235,1176.3,1176.4,1153.0,23537.763,23048.47,-489.29299999999785,-544.9043621684278,55.61136216843,40.0,1.6072250385,5.7621175000000004,0.046586233,0.70613289,7.489300506929999,-0.022380026972551127,close_proxy,2026-07-31,2026-08-03,BAJFINANCE,0.40947890281677246,3.6219740775049556,0.019484959542751312,4.542414888832992,0.02623178608983026,4.106246583343918,4657.7610108,normal,expected_return_rank,0.875,0.85,0.002509151021372063,0.9998619750450881,0.01566629484295845,0.27418145380147374
6,3831.915,3803.0975000000003,3830.0,3866.8,3805.0,22991.489999999998,22818.585000000003,-172.9049999999952,-228.4101291782452,55.505129178249994,40.0,1.5804475875,5.704646250000001,0.04581007499999999,0.6897447,7.484480565749999,-0.00938114136482719,close_proxy,2026-07-31,2026-08-03,KAYNES,0.6260137557983398,4.7280788639598,0.024173736572265625,3.982183666330481,0.03325861175569425,2.377716267483537,1242.9784188600001,normal,expected_return_rank,0.875,0.85,0.002509151021372063,0.9998619750450881,0.01566629484295845,0.27418145380147374
70,345.12247499999995,339.38022500000005,344.95,345.8,339.55,24158.573249999998,23756.615750000004,-401.95749999999316,-457.8199536681832,55.86245366819,40.0,1.6530740204999999,5.939153937500001,0.047915189,0.7247571974999999,7.49755332369,-0.01880334169264558,close_proxy,2026-07-31,2026-08-03,NAZARA,0.6554278135299683,4.4746692755052235,0.024384774267673492,4.1085523363684056,0.028539823008849555,6.480431255090315,659.8416684,normal,expected_return_rank,0.875,0.85,0.002509151021372063,0.9998619750450881,0.01566629484295845,0.27418145380147374
9,2441.22,2335.4317,2440.0,2467.7,2336.6,21970.98,21018.8853,-952.0946999999978,-1007.0016580066608,54.906958006663004,40.0,1.48315035285,5.254721325,0.042989865300000006,0.6591294,7.4669670635130005,-0.042068096318458495,close_proxy,2026-08-03,2026-08-04,VINDHYATEL,0.8809478282928467,4.762514217695464,0.027002684772014618,2.329624372881953,0.047706972004076496,10.623895020474201,144.2708711,large_gap,qualified,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
2,8455.225499999999,8373.811,8451.0,8460.5,8378.0,16910.450999999997,16747.622,-162.8289999999979,-216.1270972548279,53.29809725483,40.0,1.1612035184999998,4.1869055,0.033658073,0.5073135299999999,7.40901663333,-0.009028838703545419,close_proxy,2026-08-03,2026-08-04,DIVISLAB,0.48043861985206604,3.6739021751380614,0.020162612199783325,4.482135673955852,0.023030202179881856,3.1215242739025366,1543.711775,large_gap,expected_return_rank,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607,0.014080505818128586,0.27899374952915823
