qty,entry_price,exit_price,raw_open,raw_high,raw_close,buy_value,sell_value,gross_pnl,net_pnl,fees,fee_brokerage,fee_exchange,fee_stt,fee_sebi,fee_stamp,fee_gst,return_pct,exit_reason,signal_date,entry_date,symbol,surge_probability,utility,expected_intraday_return,expected_return_utility,atr_pct,relvol20,turnover_cr,risk_flag,selection_type,threshold_used,validation_precision,validation_recall,validation_specificity,return_validation_mae,return_validation_rank_ic
81,1270.33485,1252.3735000000001,1269.7,1282.7,1253.0,102897.12285,101442.2535,-1454.8693499999936,-1539.039822448052,84.17047244805849,40.0,7.0497084840749995,25.360563375,0.20433937635,3.0869136855,8.4689475271335,-0.014915959344608933,close_proxy,2026-05-11,2026-05-12,TATACONSUM,0.5333349704742432,4.367014489759123,0.01807498186826706,3.748775625877344,0.027610430482185026,7.617524565563109,2440.7103241,normal,expected_return_rank,0.88,0.8333333333333334,0.005226874611516076,0.9996553266013339,0.016355790197849274,0.22133849744831322
383,265.17252,265.30728,265.04,267.14,265.44,101561.07516000001,101612.68824,51.613079999995534,-32.511301986218456,84.12438198621399,40.0,7.009494837299999,25.403172060000003,0.20317376339999998,3.0468322548000004,8.461709070713999,-0.00031986182636211064,close_proxy,2026-05-12,2026-05-13,NIFTYBEES,0.23910394310951233,1.5172314208014246,0.0109931081533432,3.0048911547768853,0.012695717789096386,1.8558690207891713,493.58533374000007,normal,expected_return_rank,0.88,0.8333333333333334,0.005226874611516076,0.9996553266013339,0.016355790197849274,0.22133849744831322
500,203.1015,209.0899477275,203.0,209.7,199.08,101550.75,104544.97386375,2994.2238637499977,2909.244845141703,84.97901860829452,40.0,7.110302473299375,26.1362434659375,0.20609572386375,3.0465225,8.479854445193888,0.028631708277731056,take_profit,2026-05-13,2026-05-14,SAIL,0.7327672243118286,6.320568712196454,0.022513873875141144,4.393637206526449,0.031805956697914355,5.689881399804631,3492.062224293,normal,expected_return_rank,0.88,0.8333333333333334,0.005226874611516076,0.9996553266013339,0.016355790197849274,0.22133849744831322
94,1102.551,1118.4405000000002,1102.0,1133.2,1119.0,103639.794,105133.40700000002,1493.6130000000267,1408.3125242163167,85.30047578371,40.0,7.2026754345,26.283351750000005,0.208773201,3.1091938199999998,8.49648157821,0.01347429715729739,close_proxy,2026-05-14,2026-05-15,INFY,0.43842682242393494,3.4688292818339175,0.01868738979101181,3.6431400529544176,0.028597521200260947,1.249477120519506,1852.175199,normal,expected_return_rank,0.88,0.8333333333333334,0.005226874611516076,0.9996553266013339,0.016355790197849274,0.22133849744831322
94,1119.5594999999998,1141.92875,1119.0,1146.1,1142.5,105238.59299999998,107341.3025,2102.7095000000263,2016.6503091437214,86.059190856305,40.0,7.334006394749999,26.835325625000003,0.21257989549999998,3.1571577899999994,8.520121151055,0.01903815847918262,close_proxy,2026-05-15,2026-05-18,INFY,0.4337112009525299,3.433855901136904,0.016887493431568146,3.680173545120153,0.024779777862887813,1.2964072242935774,1956.286155,normal,expected_return_rank,0.88,0.8333333333333334,0.005226874611516076,0.9996553266013339,0.016355790197849274,0.22133849744831322
25,4157.4776999999995,4280.0609299845,4155.4,4298.9,4190.8,103936.94249999999,107001.5232496125,3064.5807496125053,2978.7140171186857,85.86673249381946,40.0,7.277377068361631,26.750380812403126,0.21093846574961247,3.118108275,8.509927872305093,0.027595146421198393,take_profit,2026-05-18,2026-05-19,BSE,0.6437942385673523,5.177874716865642,0.01739412546157837,3.395614865048089,0.029145533525857262,1.334248256923512,2082.5778799399995,normal,expected_return_rank,0.88,0.8333333333333334,0.005226874611516076,0.9996553266013339,0.016355790197849274,0.22133849744831322
90,1230.615,1236.68135,1230.0,1239.7,1237.3,110755.35,111301.3215,545.9714999999997,458.36152535673466,87.609974643265,40.0,7.660955166749999,27.825330375000004,0.2220566715,3.3226605000000005,8.578971930015,0.004132282512854126,close_proxy,2026-05-19,2026-05-20,ICICIBANK,0.3107064664363861,2.7226691335707742,0.012149862945079803,3.637408158885848,0.018334945196647325,2.095538838637797,4830.3168962400005,normal,expected_return_rank,0.88,0.8333333333333334,0.005226874611516076,0.9996553266013339,0.016355790197849274,0.22133849744831322
62,1785.8925,1838.5495403625,1785.0,1930.0,1896.3,110725.33499999999,113990.071502475,3264.7365024750034,3176.3443449441666,88.39215753083697,40.0,7.752681524335387,28.49751787561875,0.22471540650247496,3.32176005,8.595482674380369,0.028517962754097494,take_profit,2026-05-20,2026-05-21,TATACOMM,0.691945493221283,4.6433330286588586,0.021204471588134766,3.175930602173358,0.03233916905351916,4.355453393406751,566.59644584,normal,expected_return_rank,0.88,0.8333333333333334,0.005226874611516076,0.9996553266013339,0.016355790197849274,0.22133849744831322
5022,22.801395,22.018985,22.79,22.93,22.03,114508.60569,110579.34267,-3929.2630199999985,-4016.931532164294,87.6685121642956,40.0,7.765534218419999,27.6448356675,0.22508794835999996,3.4352581707,8.5977961593156,-0.03506496970783635,close_proxy,2026-05-21,2026-05-22,IRB,0.7364253401756287,5.357116190160342,0.019495390355587006,3.263549772114902,0.031148361270953218,12.810239446180896,979.7140229799999,normal,expected_return_rank,0.88,0.8333333333333334,0.005226874611516076,0.9996553266013339,0.016355790197849274,0.22133849744831322
800,138.069,134.702615,138.0,141.9,134.77,110455.2,107762.092,-2693.107999999993,-2779.664022249313,86.55602224932,40.0,7.528496574,26.940523000000002,0.218217292,3.313656,8.55512938332,-0.02514625247575849,close_proxy,2026-05-22,2026-05-25,JSWCEMENT,0.6948676109313965,5.354529803661036,0.018337957561016083,3.3575734690118266,0.029934881409625937,13.112030281132744,1496.937929576,normal,expected_return_rank,0.88,0.8333333333333334,0.005226874611516076,0.9996553266013339,0.016355790197849274,0.22133849744831322
14,7418.7074999999995,7372.312000000001,7415.0,7441.0,7376.0,103861.905,103212.36800000002,-649.5369999999821,-734.293017076812,84.75601707683,40.0,7.1440624185,25.803092000000003,0.207074273,3.11585715,8.48593123533,-0.006814137588014326,close_proxy,2026-05-25,2026-05-26,EICHERMOT,0.4418622851371765,3.1971387695557465,0.014966055750846863,2.879827429703499,0.025925854560869398,2.69705258515426,1004.2529904,normal,expected_return_rank,0.88,0.8333333333333334,0.005226874611516076,0.9996553266013339,0.016355790197849274,0.22133849744831322
148,720.1598999999999,741.3938146514998,719.8,830.0,808.55,106583.66519999999,109726.28456842198,3142.6193684219907,3055.767999319044,86.85136910294638,40.0,7.4626932670105575,27.431571142105497,0.21630994976842197,3.1975099559999998,8.5432847880619,0.028551659114275593,take_profit,2026-05-26,2026-05-27,ATGL,0.722164511680603,5.922819663309417,0.020580224692821503,3.073395127329784,0.0411332812468698,5.559656267507679,2070.66105867,normal,expected_return_rank,0.88,0.8333333333333334,0.005226874611516076,0.9996553266013339,0.016355790197849274,0.22133849744831322
133,822.3109499999999,846.55678836075,821.9,859.85,773.3,109367.35634999999,112592.05285197975,3224.6965019797644,3136.809541118455,87.88696086130953,40.0,7.657599617468301,28.14801321299494,0.22195940920197973,3.2810206904999997,8.578367931144294,0.02849528549080853,take_profit,2026-05-27,2026-05-29,ATGL,0.790648877620697,7.216734958834781,0.02183854579925537,3.342930234033136,0.0451469561914185,7.856966098178968,4635.000342475,normal,expected_return_rank,0.88,0.8333333333333334,0.005226874611516076,0.9996553266013339,0.016355790197849274,0.22133849744831322
151,749.3745,742.32865,749.0,752.35,742.7,113155.54950000001,112091.62615000001,-1063.9233499999973,-1151.935982718859,88.01263271886151,40.0,7.771027559925001,28.022906537500003,0.22524717565000002,3.394666485,8.5987849607865,-0.010174449050519467,close_proxy,2026-05-29,2026-06-01,HDFCBANK,0.35013100504875183,3.25818142881624,0.01455872505903244,3.883600092025164,0.023470552682828577,2.5264376254368206,7542.2491351049985,normal,expected_return_rank,0.88,0.8333333333333334,0.005226874611516076,0.9996553266013339,0.016355790197849274,0.22133849744831322
90,1233.11625,1269.4746826312503,1232.5,1278.9,1270.8,110980.46250000001,114252.72143681253,3272.258936812519,3183.7718664763115,88.48707033620758,40.0,7.770544845820032,28.563180359203134,0.22523318393681252,3.329413875,8.598698072247606,0.028409646991924706,take_profit,2026-06-01,2026-06-02,INFY,0.35741332173347473,2.9088959651260184,0.016073524951934814,3.3411985426186113,0.027318087318087308,1.3063232346547333,2337.57955275,normal,expected_return_rank,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576,0.016407091170549393,0.24705574759598659
115,1000.5,999.5,1000.0,1000.01,1000.0,115057.5,114942.5,-115.0,-203.98065,88.98065,40.0,7.935,28.735625,0.22999999999999998,3.451725,8.6283,-0.0017698918363934716,close_proxy,2026-06-02,2026-06-03,LIQUIDBEES,0.14758487045764923,0.8343688245351182,0.013105243444442749,4.945089633103344,0.004852857142857131,0.8567736295458757,270.6538,normal,expected_return_rank,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576,0.016407091170549393,0.24705574759598659
51,2242.8208499999996,2239.8795,2241.7,2253.1,2241.0,114383.86334999999,114233.8545,-150.0088499999838,-238.7344745370073,88.72562453702349,40.0,7.887311265824999,28.558463625,0.22861771784999999,3.4315159004999995,8.619716027848499,-0.002075115278424458,close_proxy,2026-06-03,2026-06-04,TCS,0.48804232478141785,4.217116627367583,0.020416073501110077,3.924871947093408,0.03246579445446378,2.6936741231577166,3510.5160985399993,normal,expected_return_rank,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576,0.016407091170549393,0.24705574759598659
114,1000.4899949999999,999.5,999.99,1000.01,1000.0,114055.85942999998,113943.0,-112.85942999998224,-201.47668820970753,88.61725820972529,40.0,7.865960650334999,28.48575,0.22799885942999998,3.4216757828999995,8.6158729170603,-0.0017549067359867985,close_proxy,2026-06-04,2026-06-05,LIQUIDBEES,0.12259656190872192,0.6712052865662966,0.01039145141839981,3.8875480253638988,0.004516473736165918,0.7166681657336984,227.32292674800001,normal,expected_return_rank,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576,0.016407091170549393,0.24705574759598659
114,1000.4899949999999,999.4900050000001,999.99,1000.01,999.99,114055.85942999998,113941.86057000002,-113.99885999996332,-202.61578582656333,88.61692582660001,40.0,7.86592134,28.485465142500004,0.22799772,3.4216757828999995,8.6158658412,-0.0017679310835811053,close_proxy,2026-06-05,2026-06-08,LIQUIDETF,0.15923556685447693,0.8137837280507938,0.011311560869216919,5.571658743528134,0.00036857142857141815,8.044750844326666,164.2033,normal,expected_return_rank,0.88,0.8764044943820225,0.002187631468237274,0.9998969410221576,0.016407091170549393,0.24705574759598659
