actual_regime,strategy,median,mean,count
BULLISH,LONG_SYNTHETIC_FUTURE,0.001545975133819991,0.001828181871110739,122
BULLISH,PUT_RATIO_BACKSPREAD,-0.00117312927132,-0.001246973334445164,122
BULLISH,PUT_RATIO_SPREAD,-0.00073275001132,-0.0006594810690763115,122
BULLISH,RANGE_FORWARD,0.0005621150747550001,0.0008944517497963125,122
BULLISH,REVERSE_JADE_LIZARD,-0.001855059194765002,-0.0022374255033407384,122
BULLISH,REVERSE_RISK_REVERSAL,0.0005621150747550001,0.0008944517497963125,122
BULLISH,RISK_REVERSAL,-0.002471159728645,-0.002804365339849591,122
BULLISH,SHORT_CALL,-0.001713772718664991,-0.001989070789140165,122
BULLISH,SHORT_IRON_BUTTERFLY,-0.0017729039566650002,-0.0017854980210749176,122
BULLISH,SHORT_IRON_CONDOR,-0.0016144371418749998,-0.0017991351468767207,122
BULLISH,SHORT_PUT,0.0006865163237649999,0.0008020652100082787,122
BULLISH,SHORT_STRADDLE,-0.0007934648494299963,-0.0011870055791318864,122
BULLISH,SHORT_STRANGLE,-0.0006351555800549963,-0.0010575249646020502,122
BULLISH,SHORT_SYNTHETIC_FUTURE,-0.0034593491470799906,-0.003743160506715493,122
BULLISH,STRAP,-7.535409271001455e-05,0.000775723664838609,122
BULLISH,STRIP,-0.0022222170997950033,-0.002009493548276146,122
RANGE_BOUND,BATMAN,-0.0017886027933499997,-0.0016298857431135294,51
RANGE_BOUND,BEAR_BUTTERFLY,-0.0015301684894299854,-0.0014220109585464712,51
RANGE_BOUND,BEAR_CALL_SPREAD,-0.0007134473221699926,-0.0008125391051186267,51
RANGE_BOUND,BEAR_CONDOR,-0.0020901170256,-0.001998460550496667,51
RANGE_BOUND,BEAR_PUT_SPREAD,-0.0013158161280099926,-0.0012137500868521576,51
RANGE_BOUND,BULL_BUTTERFLY,-0.001445706111880007,-0.0013190421218860792,51
RANGE_BOUND,BULL_CALL_SPREAD,-0.0011930886262700073,-0.0010923693706225497,51
RANGE_BOUND,BULL_CONDOR,-0.002019659999250007,-0.0019033357306066673,51
RANGE_BOUND,BULL_PUT_SPREAD,-0.0005923541639100074,-0.0006914703547266659,51
RANGE_BOUND,CALL_RATIO_BACKSPREAD,-0.0009391362735500002,-0.0010224780174529413,51
RANGE_BOUND,CALL_RATIO_SPREAD,-0.0009657371685499998,-0.0008826392374529412,51
RANGE_BOUND,DOUBLE_PLATEAU,-0.002721369317300007,-0.0027410530804325506,51
RANGE_BOUND,JADE_LIZARD,-0.0006451331766299998,-0.000543494410715098,51
RANGE_BOUND,LONG_CALENDAR_CALL,-0.00084433799652,-0.0007709702664902041,49
RANGE_BOUND,LONG_CALENDAR_PUT,-0.0007197954869899999,-0.0006504330241932653,49
RANGE_BOUND,LONG_CALL,-0.0011671461583599929,-0.0011874464573743144,51
RANGE_BOUND,LONG_IRON_BUTTERFLY,-0.0015017541188399998,-0.0015040094598452926,51
RANGE_BOUND,LONG_IRON_CONDOR,-0.0013794332540999997,-0.0013814630183096078,51
RANGE_BOUND,LONG_PUT,-0.00140441397576,-0.001481222036121177,51
RANGE_BOUND,LONG_STRADDLE,-0.0025156574648900003,-0.0026686684934954918,51
RANGE_BOUND,LONG_STRANGLE,-0.00210801680343,-0.0022636643396301962,51
RANGE_BOUND,LONG_SYNTHETIC_FUTURE,-0.0005339821524200073,-0.0006606835365837256,51
RANGE_BOUND,PUT_RATIO_BACKSPREAD,-0.0010888734897900002,-0.0011586418636017647,51
RANGE_BOUND,PUT_RATIO_SPREAD,-0.0008165140747900001,-0.0007472465056605882,51
RANGE_BOUND,RANGE_FORWARD,-0.00081535162647,-0.0007779591148439216,51
RANGE_BOUND,REVERSE_JADE_LIZARD,-0.0007659319697600004,-0.000689633376892745,51
RANGE_BOUND,REVERSE_RISK_REVERSAL,-0.00081535162647,-0.0007779591148439216,51
RANGE_BOUND,RISK_REVERSAL,-0.0010857122878899998,-0.0011231561887654902,51
RANGE_BOUND,SHORT_CALL,0.0002078306898399927,0.00023289195899431445,51
RANGE_BOUND,SHORT_IRON_BUTTERFLY,-0.0023081550779400005,-0.0023061194574747076,51
RANGE_BOUND,SHORT_IRON_CONDOR,-0.0024206673841,-0.0024195426058586274,51
RANGE_BOUND,SHORT_PUT,0.0004532137633400001,0.0005267629207905889,51
RANGE_BOUND,SHORT_STRADDLE,0.0006080272374100002,0.0007596548797849035,51
RANGE_BOUND,SHORT_STRANGLE,0.00020726840976999995,0.0003625490360207843,51
RANGE_BOUND,SHORT_SYNTHETIC_FUTURE,-0.0013763684433199927,-0.0012483300771268628,51
RANGE_BOUND,STRAP,-0.003094296244459985,-0.00338318810133863,51
RANGE_BOUND,STRIP,-0.0036016355903,-0.0036770802582013744,51
